,With You_Chris Brown
0,i
1,need
2,you
3,boo
4,i
5,gotta
6,see
7,you
8,boo
9,hearts
10,world
11,tonight
12,said
13,hearts
14,world
15,tonight
16,i
17,need
18,you
19,boo
20,oh
21,i
22,gotta
23,see
24,you
25,boo
26,hey
27,hearts
28,world
29,tonight
30,said
31,hearts
32,world
33,tonight
34,uh
35,uh
36,hey
37,little
38,mama
39,ooh
40,you're
41,stunner
42,hot
43,little
44,figure
45,yes
46,you're
47,winner
48,i'm
49,glad
50,yours
51,you're
52,class
53,your
54,ooh
55,little
56,cutie
57,you
58,talk
59,me
60,i
61,swear
62,whole
63,world
64,stops
65,you're
66,my
67,sweetheart
68,i'm
69,glad
70,you're
71,mine
72,you
73,one
74,kind
75,prechorus
76,you
77,mean
78,me
79,i
80,mean
81,you
82,together
83,baby
84,nothing
85,'cause
86,i
87,got
88,you
89,i
90,need
91,money
92,i
93,need
94,cars
95,girl
96,you're
97,my
98,oh
99,i'm
100,you
101,girl
102,one
103,else
104,would
105,'cause
106,every
107,kiss
108,every
109,hug
110,you
111,make
112,me
113,fall
114,love
115,i
116,know
117,i
118,can't
119,one
120,i
121,bet
122,there's
123,hearts
124,world
125,tonight
126,love
127,life
128,feels
129,i
130,feel
131,i'm
132,you
133,you
134,you
135,you
136,you
137,girl
138,you
139,you
140,you
141,you
142,you
143,oh
144,girl
145,i
146,want
147,nobody
148,else
149,without
150,you
151,there's
152,one
153,left
154,you're
155,like
156,jordans
157,saturday
158,i
159,gotta
160,you
161,i
162,cannot
163,wait
164,hey
165,little
166,shawty
167,say
168,you
169,care
170,me
171,you
172,know
173,i
174,care
175,you
176,you
177,know
178,i'll
179,true
180,you
181,know
182,i
183,lie
184,you
185,know
186,i
187,would
188,try
189,your
190,everything
191,yeah
192,prechorus
193,'cause
194,i
195,got
196,you
197,i
198,need
199,money
200,i
201,need
202,cars
203,girl
204,you're
205,my
206,oh
207,i'm
208,you
209,you
210,girl
211,one
212,else
213,would
214,'cause
215,every
216,kiss
217,every
218,hug
219,hug
220,you
221,make
222,me
223,fall
224,love
225,i
226,know
227,i
228,can't
229,one
230,i
231,know
232,i
233,can't
234,i
235,bet
236,there's
237,hearts
238,world
239,tonight
240,love
241,life
242,feels
243,i
244,feel
245,i'm
246,you
247,you
248,you
249,you
250,you
251,oh
252,you
253,you
254,you
255,you
256,you
257,hey
258,hey
259,i
260,never
261,try
262,deny
263,you
264,my
265,whole
266,life
267,'cause
268,you
269,ever
270,let
271,me
272,go
273,i
274,would
275,die
276,i
277,front
278,i
279,need
280,another
281,woman
282,i
283,need
284,your
285,nothing
286,'cause
287,i
288,got
289,i'll
290,straight
291,baby
292,you're
293,best
294,part
295,my
296,day
297,i
298,need
299,you
300,boo
301,i
302,gotta
303,see
304,you
305,boo
306,hearts
307,world
308,tonight
309,hey
310,hey
311,said
312,hearts
313,world
314,tonight
315,ooh
316,ooh
317,ooh
318,yeah
319,need
320,boo
321,need
322,gotta
323,see
324,boo
325,said
326,there's
327,hearts
328,world
329,tonight
330,hearts
331,world
332,tonight
333,oh
334,oh
335,i'm
336,you
337,i'm
338,you
339,baby
340,girl
341,one
342,else
343,would
344,'cause
345,every
346,kiss
347,every
348,kiss
349,every
350,hug
351,every
352,hug
353,you
354,make
355,me
356,fall
357,love
358,you
359,make
360,me
361,i
362,know
363,i
364,can't
365,one
366,can't
367,one
368,i
369,bet
370,there's
371,hearts
372,world
373,tonight
374,love
375,life
376,feels
377,i
378,feel
379,i'm
380,you
381,you
382,you
383,you
384,you
385,girl
386,you
387,you
388,you
389,you
390,you
391,oh
392,you
393,you
394,you
395,you
396,you
397,you
398,you
399,you
400,you
401,you
402,you
403,babe
404,yeah
