,Reservations_Wilco
0,i
1,convince
2,you
3,me
4,i
5,like
6,indifferent
7,look
8,your
9,eyes
10,i've
11,always
12,distant
13,i've
14,always
15,told
16,lies
17,love
18,i'm
19,bound
20,choices
21,hard
22,make
23,i'm
24,bound
25,feeling
26,easy
27,fake
28,none
29,real
30,enough
31,take
32,me
33,you
34,oh
35,i've
36,got
37,reservations
38,many
39,things
40,you
41,i
42,know
43,you
44,wanting
45,me
46,say
47,i
48,get
49,closer
50,away
51,truth
52,proves
53,beautiful
54,lie
55,oh
56,i've
57,got
58,reservations
59,many
60,things
61,you
62,oh
63,i've
64,got
65,reservations
66,many
67,things
68,you
69,you
70,you
71,you
72,you
