,Accidentally in Love_Counting Crows
0,she
1,said
2,what's
3,problem
4,baby
5,what's
6,problem
7,i
8,know
9,well
10,maybe
11,i'm
12,love
13,love
14,think
15,every
16,time
17,i
18,think
19,can't
20,stop
21,thinking
22,'bout
23,much
24,longer
25,take
26,cure
27,cure
28,'cause
29,i
30,can't
31,ignore
32,love
33,love
34,makes
35,me
36,wanna
37,turn
38,around
39,face
40,me
41,i
42,know
43,nothing
44,'bout
45,love
46,come
47,come
48,turn
49,little
50,faster
51,come
52,come
53,world
54,follow
55,come
56,come
57,everybody's
58,love
59,i
60,said
61,i'm
62,snowball
63,running
64,running
65,spring
66,that's
67,coming
68,love
69,melting
70,blue
71,skies
72,belting
73,sunlight
74,shimmering
75,love
76,well
77,baby
78,i
79,surrender
80,strawberry
81,ice
82,cream
83,never
84,ever
85,end
86,love
87,well
88,i
89,mean
90,there's
91,escaping
92,your
93,love
94,oh
95,lines
96,lightning
97,mean
98,we're
99,never
100,alone
101,never
102,alone
103,come
104,come
105,move
106,little
107,closer
108,come
109,come
110,i
111,wanna
112,hear
113,you
114,whisper
115,come
116,come
117,settle
118,inside
119,my
120,love
121,come
122,come
123,jump
124,little
125,higher
126,come
127,come
128,you
129,feel
130,little
131,lighter
132,come
133,come
134,upon
135,time
136,love
137,we're
138,accidentally
139,love
140,accidentally
141,love
142,accidentally
143,love
144,accidentally
145,love
146,accidentally
147,love
148,accidentally
149,love
150,accidentally
151,love
152,accidentally
153,love
154,accidentally
155,breakdown
156,i'm
157,love
158,i'm
159,love
160,i'm
161,love
162,i'm
163,love
164,i'm
165,love
166,i'm
167,love
168,accidentally
169,i'm
170,love
171,i'm
172,love
173,i'm
174,love
175,i'm
176,love
177,i'm
178,love
179,i'm
180,love
181,accidentally
182,come
183,come
184,spin
185,little
186,tighter
187,come
188,come
189,world's
190,little
191,brighter
192,come
193,come
194,get
195,yourself
196,inside
197,her
198,love
199,i'm
200,love
