,Nothin' on You (feat. Bruno Mars)_B.o.B
0,bruno
1,mars
2,&
3,bob
4,beautiful
5,girls
6,world
7,could
8,chasin'
9,time
10,would
11,wasted
12,got
13,nothin'
14,baby
15,nothin'
16,baby
17,might
18,say
19,hi
20,might
21,say
22,hey
23,worry
24,say
25,'cause
26,got
27,nothin'
28,baby
29,yeah
30,nothin'
31,baby
32,na—na—na—nothin'
33,baby
34,na—nothin'
35,bob
36,know
37,feel
38,i'm
39,comin'
40,regardless
41,things
42,past
43,i've
44,done
45,really
46,hell
47,fun
48,carousel
49,around
50,spun
51,directions
52,tryna
53,get
54,tryna
55,chase
56,skirts
57,livin'
58,summer
59,sun
60,lost
61,ever
62,honestly
63,ended
64,none
65,pre-chorus
66,bob
67,there's
68,much
69,nonsense
70,conscience
71,i'm
72,thinkin'
73,maybe
74,get
75,wanna
76,sound
77,redundant
78,wonderin'
79,somethin'
80,wanna
81,know
82,wanna
83,know
84,never
85,mind
86,let
87,go
88,let
89,go
90,'cause
91,wanna
92,tv
93,episode
94,tv
95,episode
96,bad
97,thoughts
98,let
99,'em
100,go
101,go
102,go
103,go
104,go
105,bruno
106,mars
107,&
108,bob
109,beautiful
110,girls
111,world
112,could
113,chasin'
114,time
115,would
116,wasted
117,got
118,nothin'
119,baby
120,na—na—na—nothin'
121,baby
122,na—nothin'
123,nothin'
124,baby
125,na—na—na—nothin'
126,baby
127,na—nothin'
128,might
129,say
130,hi
131,hi
132,might
133,say
134,hey
135,hey
136,worry
137,say
138,'cause
139,got
140,nothin'
141,baby
142,na—na—na—nothin'
143,baby
144,na—nothin'
145,nothin'
146,baby
147,na—na—na—nothin'
148,baby
149,na—nothin'
150,bob
151,hands
152,never
153,another
154,one
155,around
156,never
157,seen
158,another
159,one
160,style
161,ain't
162,really
163,got
164,nothin'
165,wild
166,ain't
167,got
168,nothin'
169,baby
170,whole
171,package
172,plus
173,pay
174,taxes
175,keep
176,real
177,others
178,stay
179,plastic
180,wonder
181,woman
182,call
183,mr
184,fantastic
185,stop
186,think
187,pre-chorus
188,bob
189,i've
190,london
191,yeah
192,i've
193,paris
194,yeah
195,even
196,way
197,tokyo
198,tokyo
199,back
200,home
201,georgia
202,yeah
203,new
204,orleans
205,yeah
206,always
207,steal
208,show
209,steal
210,show
211,like
212,girl
213,got
214,froze
215,got
216,froze
217,like
218,nintendo
219,never
220,knew
221,well
222,know
223,know
224,know
225,know
226,know
227,bruno
228,mars
229,&
230,bob
231,beautiful
232,girls
233,world
234,could
235,chasin'
236,time
237,would
238,wasted
239,ha-ha
240,got
241,nothin'
242,baby
243,na—na—na—nothin'
244,baby
245,na—nothin'
246,nothin'
247,baby
248,na—na—na—nothin'
249,baby
250,na—nothin'
251,might
252,say
253,hi
254,hi
255,might
256,say
257,hey
258,hey
259,worry
260,say
261,'cause
262,got
263,nothin'
264,baby
265,na—na—na—nothin'
266,baby
267,na—nothin'
268,nothin'
269,baby
270,na—na—na—nothin'
271,baby
272,na—nothin'
273,bridge
274,bob
275,everywhere
276,go
277,i'm
278,always
279,hearin'
280,name
281,matter
282,i'm
283,girl
284,make
285,wanna
286,sing
287,whether
288,bus
289,plane
290,car
291,train
292,girl's
293,brain
294,one
295,blame
296,bruno
297,mars
298,&
299,bob
300,beautiful
301,girls
302,world
303,could
304,chasin'
305,time
306,would
307,wasted
308,got
309,nothin'
310,baby
311,na—na—na—nothin'
312,baby
313,na—nothin'
314,nothin'
315,baby
316,na—na—na—nothin'
317,baby
318,na—nothin'
319,might
320,say
321,hi
322,hi
323,might
324,say
325,hey
326,hello
327,worry
328,say
329,'cause
330,got
331,nothin'
332,baby
333,na—na—na—nothin'
334,baby
335,na—nothin'
336,nothin'
337,baby
338,na—na—na—nothin'
339,baby
340,na—nothin'
341,outro
342,bob
343,yeah
344,that's
345,heheheh
346,i'ma
347,let
348,ride
349,bob
350,bruno
351,mars
