,Swish Swish_Katy Perry
0,refrain
1,know
2,know
3,strut
4,fuck
5,katy
6,perry
7,tiger
8,lose
9,sleep
10,need
11,opinions
12,shellfish
13,sheep
14,come
15,today
16,calculated
17,got
18,number
19,'cause
20,joker
21,i'm
22,courtside
23,killer
24,queen
25,kiss
26,ring
27,best
28,believe
29,pre-chorus
30,katy
31,perry
32,keep
33,calm
34,honey
35,i'ma
36,stick
37,around
38,minute
39,get
40,used
41,funny
42,name
43,keeps
44,comin'
45,outcho
46,mouth
47,'cause
48,stay
49,winning
50,lay
51,'em
52,like
53,katy
54,perry
55,swish
56,swish
57,bish
58,another
59,one
60,basket
61,can't
62,touch
63,another
64,one
65,casket
66,katy
67,perry
68,game
69,tired
70,retire
71,'bout
72,cute
73,old
74,coupon
75,expired
76,karma's
77,liar
78,keeps
79,receipts
80,pre-chorus
81,katy
82,perry
83,keep
84,calm
85,honey
86,i'ma
87,stick
88,around
89,minute
90,get
91,used
92,funny
93,name
94,keeps
95,comin'
96,outcho
97,mouth
98,'cause
99,stay
100,winning
101,lay
102,'em
103,like
104,katy
105,perry
106,swish
107,swish
108,bish
109,another
110,one
111,basket
112,can't
113,touch
114,another
115,one
116,casket
117,swish
118,swish
119,bish
120,another
121,one
122,basket
123,can't
124,touch
125,another
126,one
127,casket
128,refrain
129,know
130,know
131,katy
132,perry
133,know
134,young
135,money
136,know
137,know
138,know
139,strut
140,hahaha
141,yo
142,fuck
143,nicki
144,minaj
145,pink
146,ferragamo
147,sliders
148,deck
149,silly
150,rap
151,beefs
152,get
153,checks
154,life
155,movie
156,i'm
157,never
158,set
159,amigos
160,offset
161,swish
162,swish
163,aww
164,got
165,upset
166,shooters'll
167,make
168,'em
169,dance
170,like
171,dubstep
172,swish
173,swish
174,aww
175,haters
176,obsessed
177,'cause
178,make
179,m's
180,get
181,much
182,less
183,tryna
184,double
185,back
186,already
187,despise
188,fake
189,love
190,showin'
191,even
192,disguise
193,ran
194,nicki
195,gettin'
196,tan
197,mirror
198,mirror
199,who's
200,fairest
201,bitch
202,land
203,damn
204,man
205,bitch
206,stan
207,muah
208,muah
209,generous
210,queen
211,kiss
212,fan
213,ass
214,goodbye
215,i'ma
216,riding
217,i'ma
218,tell
219,-----
220,biggz
221,yeah
222,that's
223,tha
224,guy
225,star's
226,star
227,da
228,ha
229,da
230,ha
231,never
232,thought
233,swish
234,god
235,would
236,take
237,far
238,get
239,pimp
240,cup
241,pimp
242,shit
243,baby
244,rock
245,queens
246,i'm
247,makin'
248,hits
249,katy
250,katy
251,perry
252,swish
253,swish
254,bish
255,another
256,one
257,basket
258,can't
259,touch
260,another
261,one
262,casket
263,refrain
264,know
265,know
266,know
267,know
268,know
269,know
270,know
271,strut
