,Hungover_Ke$ha
0,sun
1,rising
2,another
3,long
4,walk
5,back
6,home
7,back
8,home
9,there's
10,many
11,faces
12,one
13,need
14,know
15,need
16,know
17,dark
18,can't
19,fight
20,fake
21,'til
22,i'm
23,numb
24,bright
25,light
26,taste
27,tongue
28,party's
29,everybody's
30,gone
31,i'm
32,left
33,wonder
34,went
35,wrong
36,heart
37,broken
38,like
39,bottles
40,floor
41,really
42,matter
43,hung-over
44,post-chorus
45,ah-ah-ah-ah
46,ah-ah-ah-oh
47,hungover
48,even
49,dirty
50,laundry
51,everything
52,smells
53,like
54,like
55,head
56,throbbing
57,every
58,song
59,tune
60,like
61,dark
62,fight
63,'til
64,disappears
65,daylight
66,taste
67,tears
68,party's
69,everybody's
70,gone
71,i'm
72,left
73,wonder
74,went
75,wrong
76,heart
77,broken
78,like
79,bottles
80,floor
81,really
82,matter
83,hung-over
84,bridge
85,i've
86,got
87,looking
88,like
89,mess
90,standin
91,alone
92,end
93,try
94,pretend
95,put
96,fight
97,time
98,'cause
99,i'm
100,end
101,try
102,pretend
103,end
104,try
105,pretend
106,oh
107,oh-oh
108,party's
109,everybody's
110,gone
111,i'm
112,left
113,wonder
114,went
115,wrong
116,heart
117,broken
118,like
119,bottles
120,floor
121,really
122,matter
123,hung-over
124,party's
125,everybody's
126,gone
127,i'm
128,left
129,wonder
130,went
131,wrong
132,heart
133,broken
134,like
135,bottles
136,floor
137,really
138,matter
139,hung-over
140,post-chorus
141,ah-ah-ah-ah
142,ah-ah-ah-oh
143,hungover
