,True Love Waits_Radiohead
0,i’ll
1,drown
2,my
3,beliefs
4,your
5,babies
6,i’ll
7,dress
8,like
9,your
10,niece
11,wash
12,your
13,swollen
14,feet
15,don’t
16,leave
17,don’t
18,leave
19,i’m
20,living
21,i’m
22,killing
23,time
24,your
25,tiny
26,hands
27,your
28,crazy
29,kitten
30,smile
31,don’t
32,leave
33,don’t
34,leave
35,true
36,love
37,waits
38,haunted
39,attics
40,true
41,love
42,lives
43,lollipops
44,crisps
45,don’t
46,leave
47,don’t
48,leave
