,Show Me the Meaning of Being Lonely_Backstreet Boys
0,show
1,meaning
2,lonely
3,brian
4,&
5,aj
6,many
7,words
8,broken
9,heart
10,hard
11,see
12,crimson
13,love
14,hard
15,breathe
16,walk
17,maybe
18,nights
19,light
20,soon
21,become
22,wild
23,free
24,could
25,feel
26,sun
27,every
28,wish
29,done
30,tell
31,show
32,meaning
33,lonely
34,feeling
35,need
36,walk
37,tell
38,cannot
39,something
40,missing
41,heart
42,kevin
43,&
44,nick
45,life
46,goes
47,never
48,ends
49,eyes
50,stone
51,observe
52,trends
53,never
54,say
55,forever
56,gaze
57,upon
58,guilty
59,roads
60,endless
61,love
62,endless
63,love
64,control
65,every
66,wish
67,done
68,tell
69,show
70,meaning
71,lonely
72,feeling
73,need
74,walk
75,tell
76,tell
77,cannot
78,something
79,missing
80,heart
81,bridge
82,howie
83,&
84,brian
85,nowhere
86,run
87,place
88,go
89,surrender
90,heart
91,body
92,soul
93,asking
94,feel
95,things
96,never
97,show
98,missing
99,heart
100,tell
101,can't
102,brian
103,&
104,nick
105,show
106,meaning
107,lonely
108,feeling
109,need
110,walk
111,tell
112,tell
113,cannot
114,something
115,missing
116,heart
117,missing
118,heart
119,show
120,meaning
121,lonely
122,lonely
123,feeling
124,need
125,walk
126,tell
127,cannot
128,something
129,missing
130,heart
