,Mine_Taylor Swift
0,you
1,college
2,working
3,parttime
4,waiting
5,tables
6,left
7,small
8,town
9,never
10,looked
11,back
12,i
13,flight
14,risk
15,fear
16,falling
17,wondering
18,bother
19,love
20,never
21,lasts
22,prechorus
23,i
24,say
25,you
26,believe
27,we're
28,lying
29,couch
30,moment
31,i
32,could
33,see
34,yes
35,yes
36,i
37,see
38,you
39,remember
40,sitting
41,water
42,you
43,put
44,your
45,arm
46,around
47,me
48,first
49,time
50,you
51,made
52,rebel
53,careless
54,man's
55,careful
56,daughter
57,you
58,best
59,thing
60,that's
61,ever
62,mine
63,flash
64,forward
65,we're
66,taking
67,world
68,together
69,there's
70,drawer
71,my
72,things
73,your
74,place
75,you
76,learn
77,my
78,secrets
79,figure
80,i'm
81,guarded
82,you
83,say
84,we'll
85,never
86,make
87,my
88,parents'
89,mistakes
90,prechorus
91,got
92,bills
93,pay
94,got
95,nothing
96,figured
97,hard
98,take
99,yes
100,yes
101,i
102,thought
103,you
104,remember
105,sitting
106,water
107,you
108,put
109,your
110,arm
111,around
112,me
113,first
114,time
115,you
116,made
117,rebel
118,careless
119,man's
120,careful
121,daughter
122,you
123,best
124,thing
125,that's
126,ever
127,mine
128,you
129,remember
130,city
131,lights
132,water
133,you
134,saw
135,me
136,start
137,believe
138,first
139,time
140,you
141,made
142,rebel
143,careless
144,man's
145,careful
146,daughter
147,you
148,best
149,thing
150,that's
151,ever
152,mine
153,i
154,remember
155,fight
156,230
157,everything
158,slipping
159,right
160,hands
161,i
162,ran
163,crying
164,you
165,followed
166,me
167,street
168,braced
169,myself
170,goodbye
171,'cause
172,that's
173,i've
174,ever
175,known
176,you
177,took
178,me
179,surprise
180,you
181,said
182,i'll
183,never
184,leave
185,you
186,alone
187,you
188,said
189,i
190,remember
191,felt
192,sitting
193,water
194,every
195,time
196,i
197,look
198,you
199,like
200,first
201,time
202,i
203,fell
204,love
205,careless
206,man's
207,careful
208,daughter
209,she
210,best
211,thing
212,that's
213,ever
214,mine
215,hold
216,make
217,last
218,hold
219,never
220,turn
221,back
222,you
223,made
224,rebel
225,careless
226,man's
227,careful
228,daughter
229,you
230,best
231,thing
232,that's
233,ever
234,mine
235,yeah
236,yeah
237,you
238,believe
239,hold
240,we're
241,gonna
242,make
243,hold
244,i
245,see
246,yeah
247,yeah
248,i
249,see
250,see
