,I'll Make Love to You_Boyz II Men
0,nathan
1,close
2,eyes
3,make
4,wish
5,blow
6,candlelight
7,tonight
8,night
9,we're
10,gonna
11,celebrate
12,night
13,shawn
14,pour
15,wine
16,light
17,fire
18,girl
19,wish
20,command
21,submit
22,demands
23,anything
24,girl
25,need
26,ask
27,i'll
28,make
29,love
30,like
31,want
32,i'll
33,hold
34,tight
35,baby
36,night
37,i'll
38,make
39,love
40,want
41,let
42,go
43,'til
44,tell
45,wanya
46,girl
47,relax
48,let's
49,go
50,slow
51,ain't
52,got
53,nowhere
54,go
55,i'm
56,gonna
57,concentrate
58,girl
59,ready
60,gonna
61,long
62,night
63,throw
64,clothes
65,throw
66,clothes
67,floor
68,floor
69,shawn
70,&
71,wanya
72,i'm
73,gonna
74,take
75,clothes
76,i've
77,made
78,plans
79,within
80,girl
81,whatever
82,ask
83,know
84,could
85,i'll
86,make
87,love
88,like
89,want
90,i'll
91,hold
92,tight
93,baby
94,night
95,i'll
96,make
97,love
98,want
99,let
100,go
101,'til
102,tell
103,bridge
104,wanya
105,baby
106,tonight
107,night
108,right
109,make
110,wish
111,night
112,anything
113,ask
114,give
115,love
116,life
117,life
118,life
119,i'll
120,make
121,love
122,i'll
123,make
124,love
125,like
126,want
127,i'll
128,hold
129,tight
130,hold
131,tight
132,baby
133,night
134,i'll
135,make
136,love
137,i'll
138,make
139,love
140,want
141,let
142,go
143,let
144,go
145,til
146,'til
147,tell
148,tell
149,i'll
150,make
151,love
152,i'll
153,make
154,love
155,like
156,want
157,i'll
158,hold
159,tight
160,hold
161,tight
162,baby
163,night
164,i'll
165,make
166,love
167,i'll
168,make
169,love
170,want
171,let
172,go
173,let
174,go
175,til
176,'til
177,tell
178,tell
179,tell
180,baby
