,Forrest Gump_Frank Ocean
0,i
1,wanna
2,see
3,your
4,pom
5,poms
6,stands
7,come
8,come
9,my
10,fingertips
11,my
12,lips
13,burn
14,cigarettes
15,forrest
16,gump
17,you
18,run
19,my
20,mind
21,boy
22,running
23,my
24,mind
25,boy
26,forrest
27,gump
28,i
29,know
30,you
31,forrest
32,i
33,know
34,you
35,hurt
36,beetle
37,you're
38,buff
39,strong
40,i'm
41,nervous
42,forrest
43,forrest
44,gump
45,my
46,fingertips
47,my
48,lips
49,burn
50,cigarettes
51,forrest
52,gump
53,you
54,run
55,my
56,mind
57,boy
58,running
59,my
60,mind
61,boy
62,forrest
63,gump
64,i
65,saw
66,your
67,game
68,forrest
69,i
70,screaming
71,run
72,fortyfour
73,you
74,kept
75,running
76,past
77,end
78,zone
79,oh
80,where'd
81,you
82,go
83,forrest
84,forrest
85,gump
86,my
87,fingertips
88,my
89,lips
90,burn
91,cigarettes
92,forrest
93,gump
94,you
95,run
96,my
97,mind
98,boy
99,running
100,my
101,mind
102,boy
103,forrest
104,gump
105,forrest
106,green
107,forrest
108,blues
109,i'm
110,remembering
111,you
112,love
113,i
114,know
115,true
116,i
117,forget
118,you
119,you
120,you
121,oh
122,you
123,you
124,you
125,forrest
126,you
127,you
128,oh
129,you
130,you
131,you
132,forrest
133,forrest
134,gump
