,Faded From the Winter_Iron & Wine
0,daddy's
1,ghost
2,behind
3,you
4,sleeping
5,dog
6,beside
7,you
8,you're
9,poem
10,mystery
11,you're
12,prayer
13,inside
14,me
15,spoken
16,words
17,like
18,moonlight
19,you're
20,voice
21,i
22,like
23,needlework
24,seedlings
25,way
26,you're
27,walking
28,me
29,timbers
30,faded
31,winter
