,Lovely Rita_The Beatles
0,john
1,lennon
2,george
3,harrison
4,lovely
5,rita
6,meter
7,maid
8,lovely
9,rita
10,meter
11,maid
12,paul
13,mccartney
14,john
15,lennon
16,george
17,harrison
18,lovely
19,rita
20,meter
21,maid
22,nothing
23,come
24,us
25,gets
26,dark
27,i
28,tow
29,your
30,heart
31,away
32,standing
33,parking
34,meter
35,i
36,caught
37,glimpse
38,rita
39,filling
40,ticket
41,her
42,little
43,white
44,book
45,cap
46,she
47,looked
48,much
49,older
50,bag
51,across
52,her
53,shoulder
54,made
55,her
56,look
57,little
58,like
59,military
60,man
61,lovely
62,rita
63,meter
64,maid
65,may
66,i
67,inquire
68,discreetly
69,lovely
70,rita
71,you
72,free
73,take
74,tea
75,me
76,lovely
77,rita
78,maid
79,ahhahah
80,rita
81,paul
82,mccartney
83,took
84,her
85,tried
86,win
87,her
88,laugh
89,dinner
90,told
91,her
92,i
93,would
94,really
95,like
96,see
97,her
98,got
99,bill
100,rita
101,paid
102,took
103,her
104,home
105,i
106,nearly
107,made
108,sitting
109,sofa
110,sister
111,two
112,oh
113,lovely
114,rita
115,meter
116,maid
117,would
118,i
119,without
120,you
121,give
122,us
123,wink
124,make
125,me
126,think
127,you
128,lovely
129,rita
130,meter
131,maid
132,lovely
133,rita
134,meter
135,maid
136,rita
137,meter
138,maid
139,lovely
140,rita
141,meter
142,maid
143,oh
144,lovely
145,rita
146,meter
147,maid
148,lovely
149,rita
150,meter
151,maid
152,ah
153,da
154,ah
155,da
156,ah
157,da
158,ah
159,da
160,ah
161,da
162,ah
163,da
164,ah
165,da
166,ah
167,da
168,ah
169,da
170,ah
171,da
172,ah
173,da
174,ah
175,da
176,ah
177,da
178,ah
179,da
180,ah
181,da
182,ah
183,da
