,Sorry Seems to Be the Hardest Word_Elton John
0,i
1,gotta
2,make
3,you
4,love
5,me
6,i
7,gotta
8,make
9,you
10,care
11,i
12,lightning
13,strikes
14,me
15,i
16,wake
17,find
18,you're
19,i
20,make
21,you
22,want
23,me
24,i
25,gotta
26,heard
27,i
28,say
29,sorry
30,seems
31,hardest
32,word
33,sad
34,sad
35,sad
36,sad
37,sad
38,situation
39,getting
40,absurd
41,sad
42,sad
43,sad
44,can't
45,talk
46,oh
47,seems
48,me
49,sorry
50,seems
51,hardest
52,word
53,sad
54,sad
55,sad
56,sad
57,sad
58,situation
59,getting
60,absurd
61,sad
62,sad
63,sad
64,can't
65,talk
66,oh
67,seems
68,me
69,sorry
70,seems
71,hardest
72,word
73,i
74,make
75,you
76,love
77,me
78,oh
79,i
80,gotta
81,heard
82,i
83,lightning
84,strikes
85,me
86,i
87,gotta
88,i
89,gotta
90,ooh
91,sorry
92,seems
93,hardest
94,word
