,Aeroplane_Björk
0,i
1,live
2,peacefully
3,without
4,you
5,even
6,moment
7,i
8,miss
9,you
10,terribly
11,you're
12,away
13,he's
14,away
15,ain't
16,right
17,i'm
18,alone
19,i'm
20,taking
21,aeroplane
22,across
23,world
24,follow
25,my
26,heart
27,come
28,people
29,world
30,one
31,make
32,me
33,complete
34,one
35,word
36,one
37,word
38,phone
39,makes
40,me
41,happy
42,one
43,touch
44,one
45,touch
46,directly
47,makes
48,me
49,ecstatic
50,he's
51,away
52,ain't
53,right
54,i'm
55,alone
56,i'm
57,taking
58,aeroplane
59,across
60,world
61,follow
62,my
63,heart
