,Take a Bow_Rihanna
0,oh
1,round
2,applause
3,yeah
4,standing
5,ovation
6,oh
7,wow
8,yeah
9,yeah
10,yeah
11,yeah
12,yeah
13,you
14,look
15,dumb
16,right
17,standing
18,outside
19,my
20,house
21,trying
22,apologize
23,you're
24,ugly
25,you
26,cry
27,please
28,cut
29,prechorus
30,tell
31,me
32,you're
33,sorry
34,'cause
35,you're
36,baby
37,i
38,know
39,you're
40,sorry
41,you
42,got
43,caught
44,you
45,put
46,quite
47,show
48,uhoh
49,really
50,me
51,going
52,time
53,go
54,uhoh
55,curtain's
56,finally
57,closing
58,quite
59,show
60,uhoh
61,entertaining
62,go
63,take
64,bow
65,grab
66,your
67,clothes
68,get
69,gone
70,get
71,gone
72,you
73,better
74,hurry
75,sprinklers
76,come
77,come
78,talking'
79,bout'
80,girl
81,i
82,love
83,you
84,you're
85,one
86,looks
87,like
88,rerun
89,please
90,else
91,ohoh
92,prechorus
93,tell
94,me
95,you're
96,sorry
97,'cause
98,you're
99,baby
100,i
101,know
102,you're
103,sorry
104,you
105,got
106,caught
107,you
108,put
109,quite
110,show
111,uhoh
112,really
113,me
114,going
115,time
116,go
117,uhoh
118,curtain's
119,finally
120,closing
121,quite
122,show
123,uhoh
124,entertaining
125,go
126,take
127,bow
128,oh
129,award
130,best
131,liar
132,goes
133,you
134,goes
135,you
136,making
137,me
138,believe
139,you
140,could
141,faithful
142,me
143,let's
144,hear
145,your
146,speech
147,oh
148,'bout
149,round
150,applause
151,standing
152,ovation
153,you
154,put
155,quite
156,show
157,uhoh
158,really
159,me
160,going
161,time
162,go
163,uhoh
164,curtain's
165,finally
166,closing
167,quite
168,show
169,uhoh
170,entertaining
171,go
172,take
173,bow
