,Sparks_Coldplay
0,drive
1,away
2,know
3,say
4,say
5,"""oh"
6,sing
7,one
8,"know"""
9,promise
10,i'll
11,always
12,look
13,yeah
14,that's
15,i'll
16,say
17,oh
18,say
19,oh
20,heart
21,hold
22,yeah
23,that's
24,know
25,wrong
26,let
27,oh
28,yeah
29,oh
30,yeah
31,oh
32,yeah
33,yes
34,said
35,oh
36,cry
37,oh
38,bridge
39,yeah
40,saw
41,sparks
42,yeah
43,saw
44,sparks
45,saw
46,sparks
47,yeah
48,saw
49,sparks
50,sing
51,outro
52,la
53,la
54,la
55,la
56,oh…
57,la
58,la
59,la
60,la
61,oh…
62,la
63,la
64,la
65,la
66,oh…
67,la
68,la
69,la
70,la
71,oh…
