,Truly Madly Deeply_Savage Garden
0,i'll
1,your
2,dream
3,i'll
4,your
5,wish
6,i'll
7,your
8,fantasy
9,i'll
10,your
11,hope
12,i'll
13,your
14,love
15,everything
16,you
17,need
18,i'll
19,love
20,you
21,every
22,breath
23,truly
24,madly
25,deeply
26,i
27,strong
28,i
29,faithful
30,'cause
31,i'm
32,counting
33,prechorus
34,new
35,beginning
36,reason
37,living
38,deeper
39,meaning
40,yeah
41,i
42,wanna
43,stand
44,you
45,mountain
46,i
47,wanna
48,bathe
49,you
50,sea
51,i
52,wanna
53,lay
54,like
55,forever
56,sky
57,falls
58,me
59,stars
60,shining
61,brightly
62,velvet
63,sky
64,i'll
65,make
66,wish
67,send
68,heaven
69,make
70,you
71,want
72,cry
73,tears
74,joy
75,pleasure
76,certainty
77,we're
78,surrounded
79,comfort
80,protection
81,prechorus
82,highest
83,powers
84,lonely
85,hours
86,tears
87,devour
88,you
89,i
90,wanna
91,stand
92,you
93,mountain
94,i
95,wanna
96,bathe
97,you
98,sea
99,i
100,wanna
101,lay
102,like
103,forever
104,sky
105,falls
106,me
107,oh
108,you
109,see
110,baby
111,you
112,close
113,your
114,eyes
115,'cause
116,standing
117,right
118,you
119,you
120,need
121,surely
122,come
123,variation
124,i'll
125,your
126,dream
127,i'll
128,your
129,wish
130,i'll
131,your
132,fantasy
133,i'll
134,your
135,hope
136,i'll
137,your
138,love
139,everything
140,you
141,need
142,i'll
143,love
144,you
145,every
146,breath
147,truly
148,madly
149,deeply
150,ooh
151,ooh
152,i
153,wanna
154,stand
155,you
156,mountain
157,i
158,wanna
159,bathe
160,you
161,sea
162,i
163,wanna
164,lay
165,like
166,forever
167,sky
168,falls
169,me
170,i
171,wanna
172,stand
173,you
174,mountain
175,i
176,wanna
177,bathe
178,you
179,sea
180,i
181,want
182,live
183,like
184,forever
185,sky
186,falls
187,me
188,oohooh
189,ooh
190,yeah
191,oh
192,oh
193,ladadadadada
194,lalalala
195,ladadadadada
196,lalala
