,Satellite_Elliott Smith
0,hands
1,pointing
2,midnight
3,you're
4,question
5,mark
6,coming
7,people
8,you
9,watched
10,collide
11,you
12,ask
13,you
14,want
15,satellite
16,'cause
17,names
18,you
19,drop
20,put
21,ice
22,my
23,veins
24,you
25,know
26,you're
27,one
28,finds
29,strange
30,call
31,lover's
32,moon
33,satellite
34,'cause
35,acts
36,like
37,lovers
38,satellite
39,burnedout
40,world
41,you
42,know
43,staying
44,night
45,satellite
