,Cosmic Love_Florence + the Machine
0,falling
1,star
2,fell
3,your
4,heart
5,landed
6,my
7,eyes
8,i
9,screamed
10,aloud
11,tore
12,left
13,me
14,blind
15,stars
16,moon
17,blown
18,you
19,left
20,me
21,dark
22,dawn
23,day
24,i'm
25,always
26,twilight
27,shadow
28,your
29,heart
30,dark
31,i
32,hear
33,your
34,heartbeat
35,i
36,tried
37,find
38,sound
39,stopped
40,till
41,i
42,darkness
43,darkness
44,i
45,became
46,stars
47,moon
48,blown
49,you
50,left
51,me
52,dark
53,dawn
54,day
55,i'm
56,always
57,twilight
58,shadow
59,your
60,heart
61,i
62,took
63,stars
64,eyes
65,i
66,made
67,map
68,knew
69,somehow
70,i
71,could
72,find
73,my
74,way
75,back
76,i
77,heard
78,your
79,heart
80,beating
81,you
82,darkness
83,i
84,stayed
85,darkness
86,you
87,stars
88,moon
89,blown
90,you
91,left
92,me
93,dark
94,dawn
95,day
96,i'm
97,always
98,twilight
99,shadow
100,your
101,heart
102,stars
103,moon
104,blown
105,you
106,left
107,me
108,dark
109,dawn
110,day
111,i'm
112,always
113,twilight
114,shadow
115,your
116,heart
