,The Good Stuff_Kenny Chesney
0,well
1,me
2,my
3,lady
4,first
5,big
6,fight
7,i
8,drove
9,around
10,till
11,i
12,saw
13,neon
14,light
15,corner
16,bar
17,seemed
18,right
19,i
20,pulled
21,soul
22,around
23,old
24,bar
25,keep
26,end
27,looking
28,half
29,asleep
30,he
31,walked
32,said
33,what'll
34,i
35,said
36,good
37,stuff
38,he
39,reach
40,around
41,whiskey
42,he
43,pour
44,me
45,beer
46,his
47,blue
48,eyes
49,kind
50,went
51,misty
52,he
53,said
54,you
55,can't
56,find
57,first
58,long
59,kiss
60,second
61,date
62,momma's
63,worried
64,you
65,get
66,home
67,late
68,dropping
69,ring
70,spaghetti
71,plate
72,your
73,hands
74,shaking
75,much
76,way
77,she
78,looks
79,rice
80,her
81,hair
82,eating
83,burnt
84,suppers
85,whole
86,first
87,year
88,asking
89,seconds
90,keep
91,her
92,tearing
93,yeah
94,man
95,that's
96,good
97,stuff
98,he
99,grabbed
100,carton
101,milk
102,he
103,poured
104,glass
105,i
106,smiled
107,said
108,i'll
109,sat
110,talked
111,hour
112,passed
113,like
114,old
115,friends
116,i
117,saw
118,black
119,white
120,picture
121,caught
122,my
123,stare
124,pretty
125,girl
126,bouffant
127,hair
128,he
129,said
130,that's
131,my
132,bonnie
133,taken
134,year
135,wed
136,he
137,said
138,spent
139,five
140,years
141,bottle
142,cancer
143,took
144,her
145,me
146,i've
147,sober
148,three
149,years
150,one
151,thing
152,stronger
153,whiskey
154,sight
155,her
156,holding
157,my
158,baby
159,girl
160,way
161,she
162,adored
163,string
164,pearls
165,i
166,gave
167,her
168,day
169,youngest
170,boy
171,earl
172,married
173,his
174,high
175,school
176,love
177,new
178,teeshirt
179,saying
180,'i'm
181,grandpa'
182,right
183,time
184,got
185,small
186,holding
187,her
188,hand
189,good
190,lord
191,called
192,her
193,yeah
194,man
195,that's
196,good
197,stuff
198,he
199,said
200,you
201,get
202,home
203,she'll
204,start
205,cry
206,she
207,says
208,'i'm
209,sorry'
210,say
211,'so
212,i'
213,look
214,eyes
215,deep
216,love
217,drink
218,that's
219,good
220,stuff
221,that's
222,good
223,stuff
