,Hamburg Song_Keane
0,pump
1,organ
2,tom
3,chaplin
4,want
5,adored
6,want
7,first
8,line
9,make
10,heard
11,i'd
12,like
13,bring
14,little
15,light
16,shine
17,light
18,life
19,make
20,feel
21,loved
22,pre-chorus
23,want
24,one
25,know
26,want
27,place
28,call
29,home
30,lay
31,make
32,want
33,know
34,give
35,much
36,i'd
37,ever
38,ask
39,see
40,end
41,waste
42,time
43,trying
44,friend
45,shine
46,shine
47,shine
48,shine
49,little
50,light
51,shine
52,light
53,life
54,warm
55,pre-chorus
56,fool
57,wonder
58,know
59,know
60,could
61,simple
62,lay
63,make
64,want
65,know
66,take
67,much
68,i'd
69,ever
70,ask
71,instrumental
72,bridge
73,piano
74,lead
75,tim
76,rice-oxley
77,pre-chorus
78,say
79,word
80,two
81,brighten
82,day
83,think
84,could
85,see
86,way
87,lay
88,make
89,want
90,know
91,take
92,much
93,i'd
94,ever
95,ask
