,Turn_Travis
0,i
1,want
2,see
3,people
4,saw
5,i
6,want
7,feel
8,like
9,i
10,felt
11,i
12,want
13,see
14,kingdom
15,come
16,i
17,want
18,feel
19,forever
20,young
21,prechorus
22,i
23,want
24,sing
25,sing
26,my
27,song
28,i
29,want
30,live
31,world
32,i
33,belong
34,i
35,want
36,live
37,i
38,survive
39,i
40,believe
41,long
42,turn
43,turn
44,turn
45,turn
46,turn
47,turn
48,turn
49,turn
50,turn
51,might
52,learn
53,where's
54,stars
55,sky
56,what's
57,moon
58,big
59,balloon
60,we'll
61,never
62,know
63,unless
64,grow
65,there's
66,much
67,world
68,outside
69,door
70,prechorus
71,i
72,want
73,sing
74,sing
75,my
76,song
77,i
78,want
79,live
80,world
81,i'll
82,strong
83,i
84,want
85,live
86,i
87,survive
88,i
89,believe
90,long
91,turn
92,turn
93,turn
94,turn
95,turn
96,turn
97,turn
98,turn
99,might
100,learn
101,got
102,turn
103,got
104,turn
105,turn
106,turn
107,turn
108,turn
109,turn
110,turn
111,turn
112,turn
113,turn
114,turn
115,turn
116,turn
117,turn
118,turn
119,turn
120,might
121,learn
122,learn
123,turn
