,Just a Kiss_Lady Antebellum
0,lyin'
1,close
2,hard
3,fight
4,feelings
5,feels
6,hard
7,breathe
8,i'm
9,caught
10,moment
11,i'm
12,caught
13,smile
14,i've
15,never
16,opened
17,anyone
18,hard
19,hold
20,back
21,i'm
22,holding
23,arms
24,need
25,rush
26,let's
27,take
28,slow
29,kiss
30,lips
31,moonlight
32,touch
33,fire
34,burning
35,bright
36,wanna
37,mess
38,thing
39,wanna
40,push
41,far
42,shot
43,dark
44,might
45,one
46,i've
47,waiting
48,whole
49,life
50,baby
51,i'm
52,alright
53,kiss
54,goodnight
55,know
56,give
57,little
58,time
59,it'll
60,bring
61,us
62,closer
63,love
64,wanna
65,find
66,never
67,felt
68,real
69,never
70,felt
71,right
72,kiss
73,lips
74,moonlight
75,touch
76,fire
77,burning
78,bright
79,wanna
80,mess
81,thing
82,wanna
83,push
84,far
85,shot
86,dark
87,might
88,one
89,i've
90,waiting
91,whole
92,life
93,baby
94,i'm
95,alright
96,kiss
97,goodnight
98,bridge
99,wanna
100,say
101,goodnight
102,know
103,time
104,leave
105,dreams
106,tonight
107,tonight
108,tonight
109,kiss
110,lips
111,moonlight
112,touch
113,fire
114,burning
115,bright
116,wanna
117,mess
118,thing
119,wanna
120,push
121,far
122,shot
123,dark
124,might
125,one
126,i've
127,waiting
128,whole
129,life
130,baby
131,i'm
132,alright
133,oh
134,let's
135,right
136,kiss
137,goodnight
138,outro
139,kiss
140,goodnight
141,kiss
142,goodnight
