,Dig_Incubus
0,weakness
1,easy
2,identify
3,look
4,me
5,eye
6,ask
7,forgiveness
8,we'll
9,make
10,pact
11,never
12,speak
13,word
14,yes
15,you
16,my
17,friend
18,prechorus
19,something
20,digs
21,us
22,least
23,dig
24,weakness
25,turns
26,my
27,ego
28,i
29,know
30,you'll
31,count
32,me
33,yesterday
34,i
35,turn
36,another
37,dig
38,me
39,covering
40,better
41,part
42,me
43,sing
44,song
45,remind
46,me
47,we'll
48,always
49,everything
50,else
51,gone
52,sickness
53,cleverly
54,attaches
55,multiplies
56,matter
57,try
58,prechorus
59,someone
60,digs
61,us
62,least
63,dig
64,sickness
65,turns
66,my
67,ego
68,i
69,know
70,you'll
71,act
72,clever
73,medicine
74,i
75,turn
76,another
77,dig
78,me
79,covering
80,better
81,part
82,me
83,sing
84,song
85,remind
86,me
87,we'll
88,always
89,everything
90,else
91,gone
92,oh
93,everything
94,else
95,gone
96,oh
97,oh
98,oh
99,oh
100,oh
101,oh
102,oh
103,oh
104,oh
105,oh
106,oh
107,oh
108,oh
109,oh
110,oh
111,i
112,turn
113,another
114,dig
115,me
116,covering
117,better
118,part
119,me
120,sing
121,song
122,remind
123,me
124,we'll
125,always
126,everything
127,else
128,gone
129,oh
130,sing
131,song
132,everything
133,else
134,gone
135,oh
136,everything
137,else
138,gone
