,Highway Unicorn (Road to Love)_Lady Gaga
0,strong
1,strong
2,lonely
3,run
4,road
5,love
6,strong
7,strong
8,follow
9,unicorn
10,road
11,love
12,interlude
13,run
14,run
15,t-
16,run
17,run
18,t-
19,run
20,run
21,t-
22,run
23,run
24,t-
25,run
26,run
27,t-
28,run
29,run
30,t-
31,run
32,run
33,t-
34,run
35,run
36,t-
37,run
38,run
39,top
40,baby
41,flies
42,run
43,run
44,fury
45,saint
46,eyes
47,run
48,run
49,ha-cha
50,cha
51,cha
52,baby
53,goes
54,blonde
55,hair
56,gun
57,smoking
58,toes
59,pre-chorus
60,hoah-oo-woah-oo-woah
61,hoah-oo-woah-oo-woah
62,oh-oh-oo-oh
63,ride
64,ride
65,pony
66,ride
67,ride
68,hoah-oo-woah-oo-woah
69,hoah-oo-woah-oo-woah
70,oh-oh-oo-oh
71,ride
72,ride
73,pony
74,tonight
75,strong
76,strong
77,lonely
78,run
79,road
80,love
81,strong
82,strong
83,follow
84,unicorn
85,road
86,love
87,i'm
88,road
89,i'm
90,road
91,love
92,i'm
93,road
94,i'm
95,road
96,love
97,american
98,riding
99,dream
100,got
101,rainbow
102,syrup
103,heart
104,bleeds
105,care
106,papers
107,love
108,law
109,free
110,soul
111,burning
112,roads
113,flag
114,bra
115,pre-chorus
116,hoah-oo-woah-oo-woah
117,hoah-oo-woah-oo-woah
118,oh-oh-oo-oh
119,ride
120,ride
121,pony
122,ride
123,ride
124,hoah-oo-woah-oo-woah
125,hoah-oo-woah-oo-woah
126,oh-oh-oo-oh
127,ride
128,ride
129,pony
130,tonight
131,strong
132,strong
133,lonely
134,run
135,road
136,love
137,strong
138,strong
139,follow
140,unicorn
141,road
142,love
143,i'm
144,road
145,i'm
146,road
147,love
148,i'm
149,road
150,i'm
151,road
152,love
153,bridge
154,get
155,hot
156,rods
157,ready
158,rumble
159,'cause'
160,we're
161,gonna
162,fall
163,love
164,tonight
165,get
166,hot
167,rods
168,ready
169,rumble
170,'cause'
171,we're
172,gonna
173,drink
174,die
175,get
176,hot
177,rods
178,ready
179,rumble
180,'cause'
181,we're
182,gonna
183,fall
184,love
185,tonight
186,get
187,hot
188,rods
189,ready
190,rumble
191,'cause'
192,we're
193,gonna
194,drink
195,die
