,I Will Always Love You_Dolly Parton
0,i
1,stay
2,i
3,would
4,your
5,way
6,i'll
7,go
8,i
9,know
10,i'll
11,think
12,you
13,step
14,way
15,i
16,always
17,love
18,you
19,i
20,always
21,love
22,you
23,bittersweet
24,memories
25,that's
26,i'm
27,taking
28,me
29,goodbye
30,please
31,cry
32,know
33,i'm
34,you
35,need
36,i
37,always
38,love
39,you
40,i
41,always
42,love
43,you
44,i
45,hope
46,life
47,treats
48,you
49,kind
50,i
51,hope
52,you
53,you
54,ever
55,dreamed
56,i
57,wish
58,you
59,joy
60,happiness
61,i
62,wish
63,you
64,love
65,i
66,always
67,love
68,you
69,i
70,always
71,love
72,you
73,i
74,always
75,love
76,you
