,Home Again_Michael Kiwanuka
0,home
1,home
2,one
3,day
4,i
5,know
6,i'll
7,feel
8,home
9,born
10,born
11,one
12,day
13,i
14,know
15,i'll
16,feel
17,strong
18,i
19,left
20,my
21,head
22,many
23,times
24,i've
25,told
26,talk
27,make
28,you
29,old
30,i
31,close
32,my
33,eyes
34,look
35,behind
36,moving
37,moving
38,i
39,close
40,my
41,eyes
42,look
43,behind
44,moving
45,lost
46,lost
47,one
48,day
49,i
50,know
51,paths
52,cross
53,smile
54,smile
55,one
56,day
57,i
58,hope
59,make
60,you
61,smile
62,i
63,hide
64,many
65,times
66,i've
67,told
68,speak
69,your
70,mind
71,bold
72,i
73,close
74,my
75,eyes
76,look
77,behind
78,moving
79,moving
80,i
81,close
82,my
83,eyes
84,tears
85,clear
86,i
87,feel
88,fear
89,i'd
90,feel
91,way
92,my
93,paths
94,remain
95,straight
96,home
97,home
98,one
99,day
100,i
101,know
102,i'll
103,feel
104,home
105,born
106,born
107,one
108,day
109,i
110,know
111,i'll
112,feel
113,strong
114,i
115,left
116,my
117,head
118,many
119,times
120,i've
121,told
122,talk
123,make
124,you
125,old
126,i
127,close
128,my
129,eyes
130,look
131,behind
132,moving
133,moving
134,i
135,close
136,my
137,eyes
138,look
139,behind
140,moving
