,Loch Raven_Animal Collective
0,i
1,give
2,you
3,i
4,give
5,you
6,i
7,give
8,you
9,i
10,give
11,you
12,i
13,give
14,you
15,cute
16,red
17,hood
18,come
19,walk
20,me
21,i
22,give
23,you
24,leave
25,your
26,room
27,mate
28,friend
29,i
30,give
31,you
32,come
33,apartment
34,me
35,i
36,give
37,you
38,your
39,soft
40,feet
41,melt
42,i
43,give
44,you
45,walked
46,far
47,jumped
48,workin'
49,streets
50,i
51,give
52,you
53,need
54,feel
55,furs
56,i
57,give
58,you
59,come
60,my
61,den
62,me
63,wait
64,second
65,i
66,give
67,you
68,oh
69,i'm
70,fevering
71,oh
72,you
73,make
74,me
75,want
76,i'm
77,gonna
78,gonna
79,chase
80,you
81,i
82,give
83,you
84,oh
85,i'm
86,fevering
87,oh
88,you
89,make
90,me
91,want
92,i'm
93,gonna
94,gonna
95,chase
96,you
97,i
98,give
99,you
100,oh
101,i'm
102,fevering
103,oh
104,you
105,make
106,me
107,want
108,i'm
109,gonna
110,gonna
111,chase
112,you
113,i
114,give
115,you
116,oh
117,i'm
118,fevering
119,oh
120,you
121,make
122,me
123,want
124,i'm
125,gonna
126,gonna
127,chase
128,you
129,i
130,give
131,you
132,ooh
133,ooh
134,ooh
135,oohooh
136,ooh
137,ooh
138,ooh
139,ooh
140,oohooh
141,ooh
142,i
143,give
144,you
145,ooh
146,ooh
147,ooh
148,oohooh
149,ooh
150,ooh
151,ooh
152,ooh
153,oohooh
154,ooh
155,cute
156,red
157,hood
158,come
159,walk
160,me
161,leave
162,your
163,room
164,mate
165,friend
166,come
167,apartment
168,me
169,wait
170,second
171,oh
172,i'm
173,fevering
174,oh
175,you
176,make
177,me
178,want
179,i'm
180,gonna
181,gonna
182,chase
183,you
184,i
185,give
186,you
187,oh
188,i'm
189,fevering
190,oh
191,you're
192,feet
193,her
194,i'm
195,gonna
196,gonna
197,chase
198,you
199,i
200,give
201,you
202,oh
203,i'm
204,fevering
205,oh
206,you
207,make
208,me
209,want
210,i'm
211,gonna
212,gonna
213,chase
214,you
215,i
216,give
217,you
218,oh
219,i'm
220,fevering
221,oh
222,you're
223,feet
224,her
225,i'm
226,gonna
227,gonna
228,chase
229,you
230,i
231,give
232,you
233,ooh
234,ooh
235,ooh
236,oohooh
237,ooh
238,ooh
239,ooh
240,ooh
241,oohooh
242,ooh
243,ooh
244,ooh
245,ooh
246,oohooh
247,ooh
248,ooh
249,ooh
250,ooh
251,oohooh
252,ooh
253,ooh
254,ooh
255,ooh
256,oohooh
257,ooh
258,ooh
259,ooh
260,ooh
261,oohooh
262,ooh
263,ooh
264,ooh
265,ooh
266,oohooh
267,ooh
268,ooh
269,ooh
270,ooh
271,oohooh
272,ooh
273,ooh
274,ooh
275,ooh
276,oohooh
277,ooh
278,ooh
279,ooh
280,ooh
281,oohooh
282,ooh
283,ooh
284,ooh
285,ooh
286,oohooh
287,ooh
288,ooh
289,ooh
290,ooh
291,oohooh
292,ooh
293,ooh
294,ooh
295,ooh
296,oohooh
297,ooh
298,ooh
299,ooh
300,ooh
301,oohooh
302,ooh
