,"Lights Out, Words Gone_Bombay Bicycle Club"
0,keep
1,your
2,old
3,wasted
4,word
5,my
6,heart
7,breaking
8,like
9,you
10,heard
11,town
12,always
13,turned
14,lies
15,made
16,burn
17,keep
18,your
19,old
20,wasted
21,words
22,my
23,heart
24,breaking
25,like
26,you
27,heard
28,town
29,always
30,turned
31,lies
32,made
33,burn
34,let
35,me
36,one
37,go
38,go
39,go
40,let
41,me
42,one
43,try
44,you
45,feel
46,leeches
47,bite
48,boy
49,she
50,took
51,tonight
52,he's
53,brave
54,walking
55,sure
56,spots
57,you're
58,working
59,keep
60,your
61,old
62,wasted
63,words
64,my
65,heart
66,breaking
67,like
68,you
69,heard
70,town
71,always
72,turned
73,lies
74,made
75,burn
76,let
77,me
78,one
79,go
80,go
81,go
82,let
83,me
84,one
85,try
86,light
87,words
88,gone
89,let
90,me
91,one
92,try
93,light
94,words
95,gone
96,let
97,me
98,one
99,try
100,light
101,words
102,gone
103,let
104,me
105,one
106,try
107,light
108,words
109,gone
110,let
111,me
112,one
113,try
114,light
115,words
116,gone
117,let
118,me
119,one
120,try
121,light
122,words
123,gone
124,let
125,me
126,one
127,try
128,light
129,words
130,gone
131,let
132,me
133,one
134,try
135,light
136,words
137,gone
138,let
139,me
140,one
141,try
142,light
143,words
144,gone
145,let
146,me
147,one
148,try
149,light
150,words
151,gone
152,let
153,me
154,one
155,try
156,light
157,words
158,gone
159,let
160,me
161,one
162,try
163,light
164,words
165,gone
166,let
167,me
168,one
169,try
