,The Lady in My Life_Michael Jackson
0,there’ll
1,darkness
2,tonight
3,lady
4,love
5,shine
6,lighting
7,night
8,put
9,trust
10,heart
11,meet
12,paradise
13,time
14,girl
15,you’re
16,every
17,wonder
18,world
19,treasure
20,time
21,won’t
22,steal
23,away
24,listen
25,heart
26,lay
27,body
28,close
29,mine
30,let
31,fill
32,dreams
33,make
34,feel
35,alright
36,baby
37,years
38,going
39,love
40,day
41,promise
42,tonight
43,always
44,lady
45,life
46,lay
47,back
48,tenderness
49,let’s
50,make
51,night
52,won’t
53,forget
54,girl
55,need
56,sweet
57,caress
58,oh
59,reach
60,fantasy
61,two
62,hearts
63,beat
64,ecstasy
65,come
66,girl
67,keep
68,warm
69,shadows
70,night
71,let
72,touch
73,love
74,make
75,feel
76,right
77,baby
78,years
79,even
80,we’re
81,old
82,gray
83,love
84,day
85,cause
86,always
87,lady
88,life
89,bridge
90,stay
91,want
92,stay
93,need
94,side
95,don’t
96,go
97,nowhere
98,ooh
99,girl
100,let
101,keep
102,warm
103,let
104,keep
105,warm
106,lady
107,life
108,you’re
109,lady
110,feel
111,sweetest
112,love
113,want
114,squeeze
115,always
116,lady
117,life
118,want
119,touch
120,baby
121,lay
122,back
123,tenderness
124,lady
125,life
126,rock
127,sweet
128,caress
129,always
130,lady
131,life
132,lady
133,love
134,girl
135,ooh
136,girl
137,let
138,keep
139,warm
140,lady
141,life
142,don’t
143,go
144,nowhere
145,feel
146,sweetest
147,love
148,always
149,lady
150,life
151,love
152,love
153,need
154,want
155,baby
156,lay
157,back
158,tenderness
159,stay
160,lady
161,life
162,don’t
163,go
164,nowhere
165,rock
166,sweet
167,caress
168,love
169,baby
170,always
171,lady
172,life
173,woo
174,ooh
175,baby
176,don’t
177,go
178,nowhere
179,you’re
180,lady
181,night
182,outro
183,ooh
184,girl
185,let
186,keep
187,warm
188,want
189,give
190,lady
191,life
192,life
193,feel
194,sweetest
195,love
196,let
197,baby
198,always
199,lady
200,life
201,lay
202,back
203,tenderness
204,lay
205,back
206,lady
207,life
208,let
209,touch
210,girl
211,rock
212,sweet
213,caress
214,lay
215,back
216,always
217,lady
218,life
219,ooh
220,girl
221,let
222,keep
223,warm
224,lady
225,life
226,baby
227,woo
228,fill
229,sweetest
230,love
231,always
232,lady
233,life
234,you’re
235,lady
236,lay
237,back
238,tenderness
239,you’re
240,lady
241,babe
242,lady
243,life
