,Check Yes Or No_George Strait
0,started
1,way
2,back
3,third
4,grade
5,i
6,used
7,sit
8,beside
9,emmylou
10,hayes
11,pink
12,dress
13,matching
14,bow
15,her
16,pony
17,tail
18,she
19,kissed
20,me
21,school
22,bus
23,told
24,me
25,tell
26,next
27,day
28,i
29,chased
30,her
31,'round
32,playground
33,across
34,monkey
35,bars
36,merrygoround
37,emmylou
38,got
39,caught
40,passing
41,me
42,note
43,teacher
44,took
45,i
46,read
47,she
48,wrote
49,you
50,love
51,me
52,you
53,wanna
54,my
55,friend
56,you
57,well
58,afraid
59,take
60,me
61,hand
62,you
63,want
64,i
65,think
66,love
67,goes
68,check
69,yes
70,we're
71,grown
72,my
73,wife
74,still
75,like
76,two
77,kids
78,stars
79,eyes
80,ain't
81,much
82,changed
83,i
84,still
85,chase
86,emmylou
87,hall
88,around
89,bed
90,room
91,last
92,night
93,i
94,took
95,her
96,white
97,limousine
98,twenty
99,years
100,together
101,she
102,still
103,gets
104,me
105,can't
106,believe
107,long
108,ago
109,got
110,started
111,little
112,note
113,you
114,love
115,me
116,you
117,wanna
118,my
119,friend
120,you
121,well
122,afraid
123,take
124,me
125,hand
126,you
127,want
128,i
129,think
130,love
131,goes
132,check
133,yes
134,you
135,love
136,me
137,you
138,wanna
139,my
140,friend
141,you
142,well
143,afraid
144,take
145,me
146,hand
147,you
148,want
149,i
150,think
151,love
152,goes
153,check
154,yes
155,check
156,yes
157,check
158,yes
159,check
160,yes
161,check
162,yes
