,Strangers in the Night_Frank Sinatra
0,strangers
1,night
2,exchanging
3,glances
4,wondering
5,night
6,chances
7,we'd
8,sharing
9,love
10,night
11,something
12,your
13,eyes
14,inviting
15,something
16,your
17,smile
18,exciting
19,something
20,my
21,heart
22,told
23,me
24,i
25,must
26,you
27,strangers
28,night
29,two
30,lonely
31,people
32,strangers
33,night
34,moment
35,said
36,first
37,hello
38,little
39,know
40,love
41,glance
42,away
43,warm
44,embracing
45,dance
46,away
47,ever
48,since
49,night
50,we've
51,together
52,lovers
53,first
54,sight
55,love
56,forever
57,turned
58,right
59,strangers
60,night
61,instrumentalfirst
62,three
63,lines
64,love
65,glance
66,away
67,warm
68,embracing
69,dance
70,away
71,ever
72,since
73,night
74,we've
75,together
76,lovers
77,first
78,sight
79,love
80,forever
81,turned
82,right
83,strangers
84,night
85,doobydooobydoo
86,scat
87,end
