,Waiting In Vain_Bob Marley & The Wailers
0,i
1,wanna
2,wait
3,vain
4,your
5,love
6,i
7,wanna
8,wait
9,vain
10,your
11,love
12,first
13,time
14,i
15,blessed
16,my
17,eyes
18,you
19,girl
20,my
21,heart
22,says
23,follow
24,trough
25,i
26,know
27,i'm
28,way
29,your
30,line
31,waitin'
32,feel
33,fine
34,treat
35,me
36,like
37,puppet
38,string
39,cause
40,i
41,know
42,i
43,my
44,thing
45,talk
46,me
47,you
48,think
49,i'm
50,dumb
51,i
52,wanna
53,know
54,you're
55,gonna
56,come
57,see
58,i
59,wanna
60,wait
61,vain
62,your
63,love
64,i
65,wanna
66,wait
67,vain
68,your
69,love
70,i
71,wanna
72,wait
73,vain
74,your
75,love
76,cause
77,summer
78,i'm
79,still
80,waiting
81,winter
82,i'm
83,still
84,waiting
85,guitar
86,solo
87,like
88,i
89,said
90,three
91,years
92,since
93,i'm
94,knockin'
95,your
96,door
97,i
98,still
99,knock
100,ooh
101,girl
102,ooh
103,girl
104,feasible
105,i
106,wanna
107,know
108,i
109,knock
110,ya
111,see
112,life
113,i
114,know
115,there's
116,lots
117,grief
118,your
119,love
120,my
121,relief
122,tears
123,my
124,eyes
125,burn
126,tears
127,my
128,eyes
129,burn
130,i'm
131,waiting
132,i'm
133,waiting
134,my
135,turn
136,see
137,i
138,wanna
139,wait
140,vain
141,your
142,love
143,i
144,wanna
145,wait
146,vain
147,your
148,love
149,i
150,wanna
151,wait
152,vain
153,your
154,love
155,i
156,wanna
157,wait
158,vain
159,your
160,love
161,i
162,wanna
163,wait
164,vain
165,your
166,love
167,oh
168,i
169,wanna
170,i
171,wanna
172,i
173,wanna
174,i
175,wanna
176,i
177,wanna
178,wait
179,vain
180,i
181,wanna
182,i
183,wanna
184,i
185,wanna
186,i
187,wanna
188,i
189,wanna
190,wait
191,vain
192,i
193,wanna
194,i
195,wanna
196,i
197,wanna
198,i
199,wanna
200,i
201,wanna
202,i
203,wanna
204,wait
205,vain
206,i
207,i
208,i
209,wanna
210,i
211,wanna
212,i
213,wanna
214,i
215,wanna
216,i
217,wanna
218,wait
219,vain
220,nono
221,i
222,i
223,i
224,wanna
225,i
226,wanna
227,i
228,wanna
229,i
230,wanna
231,i
232,wanna
233,wait
234,vain
235,your
236,love
237,i'm
238,waiting
239,i
240,wanna
241,i
242,wanna
243,i
244,wanna
245,i
246,wanna
247,i
248,wanna
249,wait
250,vain
251,me
252,love
253,you're
254,running
255,your
256,love
257,i'm
258,waiting
259,i
260,wanna
261,i
262,wanna
263,i
264,wanna
265,i
266,wanna
267,i
268,wanna
269,wait
270,vain
271,me
272,love
273,you're
274,running
