,Make You Feel My Love_Adele
0,rain
1,blowing
2,face
3,whole
4,world
5,case
6,could
7,offer
8,warm
9,embrace
10,make
11,feel
12,love
13,evening
14,shadows
15,stars
16,appear
17,one
18,dry
19,tears
20,could
21,hold
22,million
23,years
24,make
25,feel
26,love
27,bridge
28,know
29,made
30,mind
31,yet
32,never
33,wrong
34,i've
35,known
36,moment
37,met
38,doubt
39,mind
40,belong
41,i'd
42,go
43,hungry
44,i'd
45,go
46,black
47,blue
48,i'd
49,go
50,crawling
51,avenue
52,there's
53,nothing
54,make
55,feel
56,love
57,instrumental
58,break
59,bridge
60,storms
61,raging
62,rollin'
63,sea
64,highway
65,regret
66,winds
67,change
68,blowing
69,wild
70,free
71,ain't
72,seen
73,nothing
74,like
75,yet
76,could
77,make
78,happy
79,make
80,dreams
81,come
82,true
83,nothing
84,go
85,ends
86,earth
87,make
88,feel
89,love
90,make
91,feel
92,love
