,Love Somebody_Maroon 5
0,i
1,know
2,your
3,insides
4,feeling
5,hollow
6,hard
7,pill
8,you
9,swallow
10,yeah
11,i
12,fall
13,you
14,i'll
15,never
16,recover
17,i
18,fall
19,you
20,i'll
21,never
22,i
23,really
24,wanna
25,love
26,somebody
27,i
28,really
29,wanna
30,dance
31,night
32,away
33,i
34,know
35,we're
36,half
37,way
38,you
39,take
40,me
41,way
42,you
43,take
44,me
45,way
46,i
47,really
48,wanna
49,touch
50,somebody
51,i
52,think
53,you
54,every
55,single
56,day
57,i
58,know
59,we're
60,half
61,way
62,you
63,take
64,me
65,way
66,you
67,take
68,me
69,way
70,you're
71,hard
72,act
73,me
74,follow
75,love
76,me
77,today
78,leave
79,me
80,tomorrow
81,yeah
82,i
83,fall
84,you
85,i'll
86,never
87,recover
88,i
89,fall
90,you
91,i'll
92,never
93,i
94,really
95,wanna
96,love
97,somebody
98,i
99,really
100,wanna
101,dance
102,night
103,away
104,i
105,know
106,we're
107,half
108,way
109,you
110,take
111,me
112,way
113,you
114,take
115,me
116,way
117,i
118,really
119,wanna
120,touch
121,somebody
122,i
123,think
124,you
125,every
126,single
127,day
128,i
129,know
130,we're
131,half
132,way
133,you
134,take
135,me
136,way
137,you
138,take
139,me
140,way
141,break
142,oh
143,oh
144,oh
145,ohohoh
146,oh
147,oh
148,oh
149,ohohoh
150,i
151,know
152,start
153,i'm
154,little
155,lost
156,i
157,wanna
158,feel
159,like
160,we're
161,never
162,gonna
163,ever
164,stop
165,i
166,know
167,i'm
168,right
169,front
170,you
171,asking
172,you
173,stay
174,you
175,stay
176,stay
177,me
178,tonight
179,yeah
180,i
181,really
182,wanna
183,love
184,somebody
185,i
186,really
187,wanna
188,dance
189,night
190,away
191,i
192,know
193,we're
194,half
195,way
196,you
197,take
198,me
199,way
200,you
201,take
202,me
203,way
204,i
205,really
206,wanna
207,touch
208,somebody
209,i
210,think
211,you
212,every
213,single
214,day
215,i
216,know
217,we're
218,half
219,way
220,you
221,take
222,me
223,way
224,you
225,take
226,me
227,way
228,break
229,oh
230,oh
231,oh
232,ohohoh
233,oh
234,oh
235,oh
236,ohohoh
237,you
238,take
239,me
240,way
241,you
242,take
243,me
244,way
245,yeah
