,Supergirl_Reamonn
0,you
1,tell
2,way
3,she
4,walks
5,my
6,girl
7,you
8,tell
9,way
10,she
11,talks
12,she
13,rules
14,world
15,you
16,see
17,her
18,eyes
19,one
20,her
21,chain
22,my
23,girl
24,my
25,supergirl
26,she'd
27,say
28,okay
29,i
30,got
31,lost
32,way
33,i'm
34,supergirl
35,supergirls
36,cry
37,she'd
38,say
39,alright
40,i
41,got
42,home
43,late
44,last
45,night
46,i'm
47,supergirl
48,supergirls
49,fly
50,she'd
51,say
52,nothing
53,go
54,wrong
55,you're
56,love
57,go
58,wrong
59,she'd
60,laugh
61,night
62,time
63,day
64,pushing
65,her
66,fear
67,long
68,she'd
69,say
70,okay
71,i
72,got
73,lost
74,way
75,i'm
76,supergirl
77,supergirls
78,cry
79,she'd
80,say
81,alright
82,i
83,got
84,home
85,late
86,last
87,night
88,i'm
89,supergirl
90,supergirls
91,fly
92,she'd
93,shout
94,line
95,tell
96,me
97,got
98,time
99,'cause
100,supergirl
101,supergirls
102,hide
103,she'd
104,scream
105,my
106,face
107,tell
108,me
109,leave
110,leave
111,place
112,'cause
113,supergirl
114,supergirls
115,fly
116,yes
117,supergirl
118,supergirl
119,sowin'
120,seeds
121,burnin'
122,trees
123,sowin'
124,seeds
125,burnin'
126,trees
127,yes
128,supergirl
129,supergirl
130,supergirl
131,my
132,supergirl
