,So Sorry_Feist
0,i'm
1,sorry
2,two
3,words
4,i
5,always
6,think
7,you're
8,gone
9,i
10,realize
11,i
12,acting
13,wrong
14,selfish
15,two
16,words
17,could
18,describe
19,oh
20,actions
21,mine
22,patience
23,short
24,supply
25,need
26,say
27,goodbye
28,need
29,fight
30,cry
31,oh
32,could
33,hold
34,tight
35,tonight
36,we're
37,helpless
38,we're
39,slaves
40,impulses
41,we're
42,afraid
43,emotions
44,one
45,knows
46,shore
47,we're
48,divided
49,oceans
50,thing
51,i
52,know
53,answer
54,us
55,answer
56,us
57,i'm
58,sorry
59,two
60,words
61,i
62,always
63,think
64,oh
65,you're
66,gone
67,i
68,realize
69,i
70,acting
71,wrong
72,need
73,say
74,goodbye
75,need
76,fight
77,cry
78,could
79,could
80,hold
81,tight
82,tonight
83,tonight
84,tonight
85,tonight
