,Lay Lady Lay_Bob Dylan
0,lay
1,lady
2,lay
3,lay
4,across
5,my
6,big
7,brass
8,bed
9,lay
10,lady
11,lay
12,lay
13,across
14,my
15,big
16,brass
17,bed
18,whatever
19,colors
20,you
21,your
22,mind
23,i’ll
24,show
25,you
26,you’ll
27,see
28,shine
29,lay
30,lady
31,lay
32,lay
33,across
34,my
35,big
36,brass
37,bed
38,stay
39,lady
40,stay
41,stay
42,your
43,man
44,awhile
45,break
46,day
47,let
48,me
49,see
50,ya'
51,make
52,him
53,smile
54,his
55,clothes
56,dirty
57,his
58,his
59,hands
60,clean
61,you’re
62,best
63,thing
64,he’s
65,ever
66,seen
67,stay
68,lady
69,stay
70,stay
71,your
72,man
73,awhile
74,wait
75,longer
76,world
77,begin
78,you
79,your
80,cake
81,eat
82,wait
83,longer
84,one
85,you
86,love
87,he’s
88,standing
89,front
90,you
91,lay
92,lady
93,lay
94,lay
95,across
96,my
97,big
98,brass
99,bed
100,stay
101,lady
102,stay
103,stay
104,night
105,still
106,ahead
107,i
108,long
109,see
110,you
111,morning
112,light
113,i
114,long
115,reach
116,you
117,night
118,stay
119,lady
120,stay
121,stay
122,night
123,still
124,ahead
