,Someone Like You_Adele
0,i
1,heard
2,you're
3,settled
4,you
5,found
6,girl
7,you're
8,married
9,i
10,heard
11,your
12,dreams
13,came
14,true
15,guess
16,she
17,gave
18,you
19,things
20,i
21,give
22,you
23,old
24,friend
25,you
26,shy
27,ain't
28,like
29,you
30,hold
31,back
32,hide
33,light
34,prechorus
35,i
36,hate
37,turn
38,blue
39,uninvited
40,i
41,stay
42,away
43,i
44,fight
45,i
46,hoped
47,you'd
48,see
49,my
50,face
51,you'd
52,reminded
53,me
54,never
55,mind
56,i'll
57,find
58,someone
59,like
60,you
61,i
62,wish
63,nothing
64,best
65,you
66,forget
67,me
68,i
69,beg
70,i'll
71,remember
72,you
73,said
74,sometimes
75,lasts
76,love
77,sometimes
78,hurts
79,instead
80,sometimes
81,lasts
82,love
83,sometimes
84,hurts
85,instead
86,you
87,know
88,time
89,flies
90,yesterday
91,time
92,lives
93,born
94,raised
95,summer
96,haze
97,bound
98,surprise
99,glory
100,days
101,prechorus
102,i
103,hate
104,turn
105,blue
106,uninvited
107,i
108,stay
109,away
110,i
111,fight
112,i
113,hoped
114,you'd
115,see
116,my
117,face
118,you'd
119,reminded
120,me
121,never
122,mind
123,i'll
124,find
125,someone
126,like
127,you
128,i
129,wish
130,nothing
131,best
132,you
133,forget
134,me
135,i
136,beg
137,i'll
138,remember
139,you
140,said
141,sometimes
142,lasts
143,love
144,sometimes
145,hurts
146,instead
147,nothing
148,compares
149,worries
150,cares
151,regrets
152,mistakes
153,they're
154,memories
155,made
156,would
157,known
158,bittersweet
159,would
160,taste
161,breakdown
162,never
163,mind
164,i'll
165,find
166,someone
167,like
168,you
169,i
170,wish
171,nothing
172,best
173,you
174,forget
175,me
176,i
177,beg
178,i'll
179,remember
180,you
181,said
182,sometimes
183,lasts
184,love
185,sometimes
186,hurts
187,instead
188,never
189,mind
190,i'll
191,find
192,someone
193,like
194,you
195,i
196,wish
197,nothing
198,best
199,you
200,forget
201,me
202,i
203,beg
204,i'll
205,remember
206,you
207,said
208,sometimes
209,lasts
210,love
211,sometimes
212,hurts
213,instead
214,sometimes
215,lasts
216,love
217,sometimes
218,hurts
219,instead
