,Love Hurts_Incubus
0,tonight
1,drink
2,youth
3,holding
4,fast
5,truth
6,wanna
7,lose
8,i
9,boy
10,my
11,heart
12,still
13,beat
14,love
15,feat
16,common
17,cold
18,day
19,la
20,prechorus
21,sometimes
22,i'm
23,alone
24,i
25,wonder
26,spell
27,i
28,keeping
29,me
30,seeing
31,real
32,thing
33,love
34,hurts
35,sometimes
36,it’s
37,good
38,hurt
39,feels
40,like
41,i'm
42,alive
43,love
44,sings
45,transcends
46,bad
47,things
48,heart
49,try
50,me
51,'cause
52,without
53,love
54,i
55,survive
56,i'm
57,fettered
58,abused
59,stand
60,naked
61,accused
62,i
63,surface
64,oneman
65,submarine
66,i
67,want
68,truth
69,tonight
70,drink
71,youth
72,i'll
73,never
74,lose
75,i
76,boy
77,prechorus
78,sometimes
79,i'm
80,alone
81,i
82,wonder
83,spell
84,i
85,keeping
86,me
87,seeing
88,real
89,thing
90,love
91,hurts
92,sometimes
93,good
94,hurt
95,feels
96,like
97,i'm
98,alive
99,love
100,sings
101,transcends
102,bad
103,things
104,heart
105,try
106,me
107,'cause
108,without
109,love
110,i
111,survive
112,without
113,love
114,i
115,survive
116,love
117,hurts
118,sometimes
119,good
120,hurt
121,feels
122,like
123,i'm
124,alive
125,love
126,sings
127,transcends
128,bad
129,things
130,heart
131,try
132,me
133,'cause
134,without
135,love
136,i
137,survive
138,love
139,hurts
140,oh
141,oh
142,love
143,hurts
144,without
145,love
146,i
147,won’t
148,survive
149,love
150,hurts
151,oh
152,love
153,hurts
154,without
155,love
156,i
157,won’t
158,survive
