,Queen of California_John Mayer
0,goodbye
1,cold
2,goodbye
3,rain
4,goodbye
5,sorrow
6,goodbye
7,shame
8,i'm
9,headed
10,west
11,headphones
12,boarded
13,flight
14,song
15,back
16,soul
17,one
18,knows
19,found
20,ghost
21,left
22,town
23,queen
24,california
25,stepping
26,hello
27,beauty
28,hello
29,strange
30,hello
31,wonder
32,what's
33,name
34,looking
35,sun
36,neil
37,young
38,hung
39,gold
40,rush
41,1971
42,found
43,ghost
44,left
45,town
46,queen
47,california
48,stepping
49,electric
50,country
51,blues
52,guitar
53,bridge
54,see
55,say
56,hello
57,tell
58,told
59,joni
60,wrote
61,"""blue"""
62,house
63,sea
64,i've
65,got
66,believe
67,there's
68,another
69,color
70,waiting
71,set
72,free
73,found
74,ghost
75,left
76,town
77,queen
78,california
79,stepping
80,instrumental
81,outro
