,You're Beautiful_James Blunt
0,my
1,life
2,brilliant
3,my
4,life
5,brilliant
6,my
7,love
8,pure
9,i
10,saw
11,angel
12,i'm
13,sure
14,she
15,smiled
16,me
17,subway
18,she
19,another
20,man
21,i
22,lose
23,sleep
24,'cause
25,i've
26,got
27,plan
28,you're
29,beautiful
30,you're
31,beautiful
32,you're
33,beautiful
34,true
35,i
36,saw
37,your
38,face
39,crowded
40,place
41,i
42,know
43,'cause
44,i'll
45,never
46,you
47,yeah
48,she
49,caught
50,my
51,eye
52,walked
53,she
54,could
55,see
56,my
57,face
58,i
59,fucking
60,high
61,i
62,think
63,i'll
64,see
65,her
66,shared
67,moment
68,last
69,'til
70,end
71,you're
72,beautiful
73,you're
74,beautiful
75,you're
76,beautiful
77,true
78,i
79,saw
80,your
81,face
82,crowded
83,place
84,i
85,know
86,'cause
87,i'll
88,never
89,you
90,na
91,na
92,na
93,na
94,na
95,na
96,na
97,na
98,na
99,na
100,na
101,na
102,na
103,you're
104,beautiful
105,you're
106,beautiful
107,you're
108,beautiful
109,true
110,must
111,angel
112,smile
113,her
114,face
115,she
116,thought
117,i
118,you
119,time
120,face
121,truth
122,i
123,never
124,you
