,Light Up the Sky_Yellowcard
0,making
1,choice
2,live
3,like
4,noise
5,silence
6,already
7,know
8,ends
9,tonight
10,run
11,dark
12,firefight
13,would
14,explode
15,save
16,life
17,yeah
18,would
19,explode
20,let
21,light
22,sky
23,light
24,let
25,tell
26,would
27,die
28,let
29,light
30,sky
31,can't
32,find
33,wall
34,pin
35,they're
36,coming
37,since
38,i've
39,found
40,wanna
41,tonight
42,run
43,dark
44,looking
45,light
46,know
47,try
48,ever
49,know
50,let
51,light
52,sky
53,light
54,let
55,tell
56,would
57,die
58,let
59,light
60,sky
61,light
62,let
63,make
64,mine
65,i'll
66,ignite
67,bridge
68,let
69,light
70,sky
71,tonight
72,let
73,help
74,fly
75,'cause
76,time
77,cover
78,eyes
79,get
80,disguise
81,ask
82,they'll
83,watch
84,die
85,still
86,hard
87,play
88,part
89,show
90,goes
91,come
92,far
93,broken
94,heart
95,yeah
96,come
97,far
98,broken
99,let
100,light
101,sky
102,light
103,let
104,tell
105,would
106,die
107,let
108,light
109,sky
110,light
111,let
112,make
113,mine
114,i'll
115,ignite
116,let
117,light
118,sky
119,light
120,let
121,tell
122,would
123,die
124,outro
125,still
126,hard
127,come
128,far
129,broken
130,heart
131,still
132,hard
133,come
134,far
135,broken
136,let
137,light
138,sky
139,let
140,light
141,sky
