,I Remember_Yeasayer
0,i
1,remember
2,making
3,love
4,sunday
5,bright
6,floating
7,hearts
8,fresh
9,cut
10,grass
11,may
12,woah
13,i
14,remember
15,making
16,airplane
17,still
18,afraid
19,flying
20,you
21,i'd
22,die
23,today
24,woah
25,i
26,remember
27,smell
28,your
29,skin
30,forever
31,love
32,us
33,stupid
34,together
35,woah
36,you're
37,stuck
38,my
39,mind
40,time
41,you're
42,stuck
43,my
44,mind
45,time
46,you're
47,stuck
48,my
49,mind
50,time
51,i
52,remember
53,monday
54,making
55,your
56,eyes
57,red
58,still
59,know
60,i
61,said
62,woah
63,i
64,remember
65,thinking
66,would
67,never
68,end
69,even
70,you're
71,gone
72,your
73,eyes
74,running
75,my
76,head
77,woah
78,you're
79,stuck
80,my
81,mind
82,time
83,you're
84,stuck
85,my
86,mind
87,time
88,you're
89,stuck
90,my
91,mind
92,time
93,you're
94,stuck
95,my
96,mind
97,time
