,I Know_Fiona Apple
0,i’m
1,your
2,crowbar
3,that’s
4,i
5,far
6,you
7,get
8,mess
9,i
10,pretend
11,i
12,don’t
13,know
14,your
15,sins
16,you
17,ready
18,confess
19,time
20,time
21,i’ll
22,know
23,i’ll
24,know
25,you
26,use
27,my
28,skin
29,bury
30,secrets
31,i
32,settle
33,you
34,my
35,suggestion
36,i
37,ask
38,questions
39,i
40,my
41,thing
42,background
43,time
44,time
45,i’ll
46,know
47,i’ll
48,know
49,breakdown
50,baby
51,i
52,can't
53,help
54,you
55,she
56,still
57,around
58,time
59,i'm
60,patient
61,amidst
62,bitterness
63,you'll
64,consider
65,even
66,don’t
67,make
68,sense
69,time
70,give
71,time
72,crowd
73,becomes
74,your
75,burden
76,you've
77,early
78,closed
79,your
80,curtain
81,i'll
82,wait
83,backstage
84,door
85,you
86,try
87,find
88,lines
89,speak
90,your
91,mind
92,pry
93,open
94,hoping
95,encore
96,gets
97,late
98,me
99,wait
100,you
101,find
102,you
103,love
104,me
105,tell
106,me
107,it’s
108,ok
109,don’t
110,need
111,say
