,Possession_Sarah McLachlan
0,listen
1,wind
2,blows
3,across
4,great
5,divide
6,voices
7,trapped
8,yearning
9,memories
10,trapped
11,time
12,night
13,my
14,companion
15,solitude
16,my
17,guide
18,would
19,i
20,spend
21,forever
22,satisfied
23,i
24,would
25,one
26,hold
27,you
28,kiss
29,you
30,hard
31,i'll
32,take
33,your
34,breath
35,away
36,i
37,wipe
38,away
39,tears
40,close
41,your
42,eyes
43,dear
44,world
45,i
46,stumble
47,many
48,times
49,betrayed
50,trying
51,find
52,honest
53,word
54,find
55,truth
56,enslaved
57,oh
58,you
59,speak
60,me
61,riddles
62,you
63,speak
64,me
65,rhymes
66,my
67,body
68,aches
69,breathe
70,your
71,breath
72,your
73,words
74,keep
75,me
76,alive
77,i
78,would
79,one
80,hold
81,you
82,kiss
83,you
84,hard
85,i'll
86,take
87,your
88,breath
89,away
90,i
91,wipe
92,away
93,tears
94,close
95,your
96,eyes
97,dear
98,night
99,i
100,wander
101,morning
102,i
103,dread
104,another
105,day
106,knowing
107,path
108,i
109,fear
110,tread
111,oh
112,sea
113,waking
114,dreams
115,i
116,follow
117,without
118,pride
119,nothing
120,stands
121,us
122,i
123,denied
124,i
125,would
126,one
127,hold
128,you
129,kiss
130,you
131,hard
132,i'll
133,take
134,your
135,breath
136,away
137,i
138,wipe
139,away
140,tears
141,close
142,your
143,eyes
144,dear
145,i
146,hold
147,you
148,kiss
149,you
150,hard
151,i'll
152,take
153,your
154,breath
155,away
156,i
157,wipe
158,away
159,tears
160,close
161,your
162,eyes
