,I'm Your Man_Leonard Cohen
0,you
1,want
2,lover
3,i'll
4,anything
5,you
6,ask
7,me
8,you
9,want
10,another
11,kind
12,love
13,i'll
14,wear
15,mask
16,you
17,you
18,want
19,partner
20,take
21,my
22,hand
23,you
24,want
25,strike
26,me
27,anger
28,i
29,stand
30,i'm
31,your
32,man
33,you
34,want
35,boxer
36,i
37,step
38,ring
39,you
40,you
41,want
42,doctor
43,i'll
44,examine
45,every
46,inch
47,you
48,you
49,want
50,driver
51,climb
52,inside
53,you
54,want
55,take
56,me
57,ride
58,you
59,know
60,you
61,i'm
62,your
63,man
64,ah
65,moon's
66,bright
67,chain's
68,tight
69,beast
70,go
71,sleep
72,i've
73,running
74,promises
75,you
76,i
77,made
78,i
79,could
80,keep
81,ah
82,man
83,never
84,got
85,woman
86,back
87,begging
88,his
89,knees
90,i'd
91,crawl
92,you
93,baby
94,i'd
95,fall
96,your
97,feet
98,i'd
99,howl
100,your
101,beauty
102,like
103,dog
104,heat
105,i'd
106,claw
107,your
108,heart
109,i'd
110,tear
111,your
112,sheet
113,i'd
114,say
115,please
116,please
117,i'm
118,your
119,man
120,instrumental
121,you've
122,got
123,sleep
124,moment
125,road
126,i
127,steer
128,you
129,you
130,want
131,work
132,street
133,alone
134,i'll
135,disappear
136,you
137,you
138,want
139,father
140,your
141,child
142,want
143,walk
144,me
145,across
146,sand
147,i'm
148,your
149,man
150,you
151,want
152,lover
153,i'll
154,anything
155,you
156,ask
157,me
158,you
159,want
160,another
161,kind
162,love
163,i'll
164,wear
165,mask
166,you
