,I Am In Love With You_Imogen Heap
0,i
1,love
2,you
3,i
4,love
5,you
6,baby
7,i
8,love
9,you
10,yeah
11,live
12,moment
13,right
14,another
15,please
16,right
17,another
18,please
19,like
20,like
21,another
22,one
23,babe
24,kiss
25,me
26,longer
27,prechorus
28,oh
29,hey
30,baby
31,you
32,run
33,away
34,oh
35,hey
36,baby
37,you
38,run
39,away
40,come
41,finish
42,you
43,started
44,i
45,love
46,you
47,i
48,love
49,you
50,baby
51,i
52,love
53,you
54,yeah
55,least
56,moment
57,split
58,second
59,smoke
60,yeah
61,split
62,second
63,smoke
64,yeah
65,split
66,second
67,smoke
68,yeah
69,wet
70,fire
71,dry
72,get
73,yourself
74,situations
75,get
76,yourself
77,situations
78,darling
79,you
80,can't
81,handle
82,prechorus
83,i
84,mind
85,you
86,forget
87,yourself
88,i
89,mind
90,you
91,forget
92,yourself
93,darling
94,come
95,my
96,bed
97,me
98,come
99,my
100,bed
101,me
102,you
103,know
104,you
105,want
106,come
107,my
108,bed
109,me
110,come
111,my
112,bed
113,me
114,you
115,know
116,you
117,want
118,i’m
119,love
120,you
121,i'm
122,love
123,you
124,baby
125,i'm
126,love
127,you
128,yeah
129,anymore
130,anymore
131,anymore
132,anymore
