,Save Me_Gotye
0,mornings
1,i
2,anxious
3,better
4,stay
5,bed
6,want
7,fail
8,myself
9,running
10,options
11,endings
12,rolling
13,front
14,me
15,i
16,choose
17,thread
18,begin
19,i
20,could
21,love
22,cause
23,i
24,could
25,love
26,myself
27,never
28,good
29,enough
30,i'd
31,tell
32,myself
33,i
34,well
35,i
36,could
37,help
38,myself
39,i
40,giving
41,living
42,morning
43,you
44,leaving
45,travelling
46,south
47,you
48,said
49,you
50,unprepared
51,dead
52,ends
53,disappointments
54,fading
55,your
56,memory
57,ready
58,lonely
59,life
60,end
61,you
62,gave
63,me
64,love
65,i
66,could
67,love
68,myself
69,you
70,made
71,me
72,turn
73,way
74,i
75,saw
76,myself
77,you're
78,patient
79,love
80,you
81,help
82,me
83,help
84,myself
85,you
86,save
87,me
88,you
89,save
90,me
91,yeah
92,you
93,save
94,me
