,It's Oh So Quiet_Björk
0,shh
1,shh
2,oh
3,quiet
4,shh
5,shh
6,oh
7,still
8,shh
9,shh
10,alone
11,shh
12,shh
13,peaceful
14,fall
15,love
16,zing
17,boom
18,sky
19,zing
20,boom
21,caving
22,wow
23,bam
24,never
25,nuts
26,guy
27,wanna
28,laugh
29,wanna
30,cry
31,cross
32,heart
33,hope
34,die
35,till
36,shh
37,shh
38,nice
39,quiet
40,shh
41,shh
42,soon
43,shh
44,shh
45,starts
46,another
47,big
48,riot
49,blow
50,fuse
51,zing
52,boom
53,devil
54,cuts
55,loose
56,zing
57,boom
58,what's
59,use
60,wow
61,bam
62,falling
63,love
64,oh
65,quiet
66,oh
67,still
68,alone
69,peaceful
70,ring
71,bell
72,bim
73,bam
74,shout
75,yell
76,hi
77,hoho
78,broke
79,spell
80,gee
81,swell
82,almost
83,fit
84,guy
85,gorge
86,got
87,hit
88,there's
89,mistake
90,till
91,nice
92,quiet
93,shh
94,shh
95,soon
96,shh
97,shh
98,starts
99,another
100,big
101,riot
102,blow
103,fuse
104,zing
105,boom
106,devil
107,cuts
108,loose
109,zing
110,boom
111,what's
112,use
113,wow
114,bam
115,falling
116,love
117,sky
118,caves
119,devil
120,cuts
121,loose
122,blow
123,blow
124,blow
125,blow
126,blow
127,fuse
128,ahh
129,fall
130,love
131,shh
