,Cupid_Sam Cooke
0,cupid
1,draw
2,back
3,your
4,bow
5,let
6,your
7,arrow
8,go
9,straight
10,my
11,lover's
12,heart
13,me
14,me
15,cupid
16,please
17,hear
18,my
19,cry
20,let
21,your
22,arrow
23,fly
24,straight
25,my
26,lover's
27,heart
28,me
29,i
30,mean
31,bother
32,you
33,i'm
34,distress
35,there's
36,danger
37,me
38,losing
39,my
40,happiness
41,i
42,love
43,girl
44,know
45,i
46,exist
47,you
48,fix
49,cupid
50,draw
51,back
52,your
53,bow
54,let
55,your
56,arrow
57,go
58,straight
59,my
60,lover's
61,heart
62,me
63,nobody
64,me
65,cupid
66,please
67,hear
68,my
69,cry
70,let
71,your
72,arrow
73,fly
74,straight
75,my
76,lover's
77,heart
78,me
79,cupid
80,your
81,arrow
82,make
83,her
84,love
85,strong
86,me
87,i
88,promise
89,i
90,love
91,her
92,eternity
93,i
94,know
95,two
96,us
97,her
98,heart
99,steal
100,help
101,me
102,you
103,cupid
104,draw
105,back
106,your
107,bow
108,let
109,your
110,arrow
111,go
112,straight
113,my
114,lover's
115,heart
116,me
117,nobody
118,me
119,cupid
120,please
121,hear
122,my
123,cry
124,let
125,your
126,arrow
127,fly
128,straight
129,my
130,lover's
131,heart
132,me
133,cupid
134,you
135,hear
136,me
137,calling
138,you
139,i
140,need
141,you
142,cupid
143,help
144,me
145,i
146,need
147,you
148,cupid
149,fail
150,me
151,'cause
152,i
153,need
154,you
