,She Will Be Loved_Maroon 5
0,beauty
1,queen
2,eighteen
3,trouble
4,always
5,help
6,always
7,belonged
8,someone
9,else
10,drove
11,miles
12,miles
13,wound
14,door
15,i've
16,many
17,times
18,somehow
19,want
20,mind
21,spending
22,every
23,day
24,corner
25,pouring
26,rain
27,look
28,girl
29,broken
30,smile
31,ask
32,wants
33,stay
34,loved
35,loved
36,tap
37,window
38,knock
39,door
40,want
41,make
42,feel
43,beautiful
44,know
45,tend
46,get
47,insecure
48,matter
49,anymore
50,always
51,rainbows
52,butterflies
53,compromise
54,moves
55,us
56,along
57,yeah
58,heart
59,full
60,door's
61,always
62,open
63,come
64,time
65,want
66,yeah
67,mind
68,spending
69,every
70,day
71,corner
72,pouring
73,rain
74,look
75,girl
76,broken
77,smile
78,ask
79,wants
80,stay
81,loved
82,loved
83,loved
84,loved
85,bridge
86,know
87,hide
88,alone
89,car
90,know
91,things
92,make
93,know
94,goodbye
95,means
96,nothing
97,comes
98,back
99,makes
100,catch
101,every
102,time
103,falls
104,yeah
105,tap
106,window
107,knock
108,door
109,want
110,make
111,feel
112,beautiful
113,mind
114,spending
115,every
116,day
117,corner
118,pouring
119,rain
120,oh
121,look
122,girl
123,broken
124,smile
125,ask
126,wants
127,stay
128,loved
129,loved
130,loved
131,loved
132,outro
133,fading
134,mind
135,spending
136,every
137,day
138,corner
139,pouring
140,rain
141,please
142,try
143,hard
144,say
145,goodbye
