,Here with Me_Dido
0,hear
1,leave
2,wonder
3,still
4,want
5,move
6,thing
7,might
8,change
9,memory
10,pre-chorus
11,oh
12,i'll
13,want
14,can't
15,hide
16,go
17,sleep
18,can't
19,breathe
20,resting
21,leave
22,can't
23,hide
24,cannot
25,resting
26,want
27,call
28,friends
29,might
30,wake
31,dream
32,can't
33,leave
34,bed
35,risk
36,forgetting
37,that's
38,pre-chorus
39,oh
40,i'll
41,want
42,can't
43,hide
44,go
45,sleep
46,can't
47,breathe
48,resting
49,leave
50,can't
51,hide
52,cannot
53,resting
54,go
55,sleep
56,can't
57,breathe
58,resting
59,leave
60,can't
61,hide
62,cannot
63,resting
64,pre-chorus
65,oh
66,i'll
67,want
68,can't
69,hide
70,go
71,sleep
72,can't
73,breathe
74,resting
75,leave
76,can't
77,hide
78,cannot
79,resting
80,go
81,sleep
82,can't
83,breathe
84,resting
85,leave
86,can't
87,hide
88,cannot
89,resting
