,Impossible_Shontelle
0,remember
1,years
2,ago
3,someone
4,told
5,take
6,caution
7,comes
8,love
9,strong
10,illusion
11,mistake
12,careless
13,forgot
14,pre-chorus
15,done
16,nothing
17,say
18,gone
19,effortlessly
20,go
21,ahead
22,tell
23,tell
24,know
25,shout
26,rooftops
27,write
28,skyline
29,gone
30,tell
31,happy
32,heart
33,broken
34,scars
35,open
36,tell
37,hoped
38,would
39,impossible
40,impossible
41,impossible
42,impossible
43,falling
44,love
45,hard
46,falling
47,betrayal
48,worse
49,broken
50,trust
51,broken
52,hearts
53,know
54,know
55,thinking
56,need
57,building
58,faith
59,love
60,words
61,empty
62,promises
63,wear
64,know
65,know
66,pre-chorus
67,gone
68,nothing
69,say
70,done
71,embarrassing
72,go
73,ahead
74,tell
75,tell
76,know
77,shout
78,rooftops
79,write
80,skyline
81,gone
82,tell
83,happy
84,heart
85,broken
86,scars
87,open
88,tell
89,hoped
90,would
91,impossible
92,impossible
93,impossible
94,impossible
95,let
96,tell
97,impossible
98,impossible
99,impossible
100,impossible
101,post-chorus
102,ooh
103,impossible
104,yeah
105,yeah
106,bridge
107,remember
108,years
109,ago
110,someone
111,told
112,take
113,caution
114,comes
115,love
116,tell
117,know
118,yeah
119,shout
120,rooftops
121,shout
122,rooftops
123,write
124,skyline
125,gone
126,hey
127,tell
128,happy
129,tell
130,happy
131,heart
132,broken
133,heart
134,broken
135,scars
136,open
137,tell
138,hoped
139,would
140,whoa
141,impossible
142,impossible
143,impossible
144,impossible
145,impossible
146,impossible
147,let
148,tell
149,impossible
150,impossible
151,said
152,let
153,tell
154,impossible
155,impossible
156,outro
157,remember
158,years
159,ago
160,someone
161,told
162,take
163,caution
164,comes
165,love
