,Caught a Long Wind_Feist
0,little
1,bird
2,got
3,key
4,unlock
5,lock
6,inside
7,go
8,keep
9,afloat
10,feeling
11,old
12,wings
13,unfolded
14,caught
15,long
16,wind
17,bridge
18,go
19,keep
20,afloat
21,caught
22,long
23,wind
24,long
25,life
26,wind
27,got
28,know
29,sky
30,know
31,got
32,see
33,land
34,land
35,top
36,sea
37,bird
38,key
39,current
40,tells
41,wave
42,withheld
43,lightning
44,sang
45,light
46,would
47,land
48,bridge
49,go
50,keep
51,afloat
52,caught
53,long
54,wind
55,long
56,life
57,wind
58,like
59,swallow
60,night
61,owl
62,little
63,chickadee
64,sad
65,sparrow
66,good
67,morning
68,bird
69,good
70,nightingale
71,took
72,deep
73,breath
74,caught
75,long
76,wind
