,I Should Have Known Better_The Beatles
0,known
1,better
2,girl
3,like
4,would
5,love
6,everything
7,hey
8,hey
9,hey
10,whoa
11,oh
12,never
13,realized
14,kiss
15,could
16,could
17,happen
18,can't
19,see
20,can't
21,see
22,bridge
23,tell
24,love
25,oh
26,going
27,say
28,love
29,oh
30,ask
31,mine
32,gonna
33,say
34,love
35,realized
36,lot
37,things
38,love
39,got
40,give
41,give
42,hey
43,hey
44,hey
45,give
46,guitar
47,solo
48,whoa
49,oh
50,never
51,realized
52,kiss
53,could
54,could
55,happen
56,can't
57,see
58,can't
59,see
60,bridge
61,tell
62,love
63,oh
64,going
65,say
66,love
67,oh
68,ask
69,mine
70,going
71,say
72,love
73,outro
74,love
75,love
76,love
