,Existentialism On Prom Night_Straylight Run
0,sun
1,came
2,sleeping
3,sunk
4,inside
5,blankets
6,sprawled
7,across
8,bed
9,dreaming
10,moments
11,know
12,ends
13,world
14,revolves
15,around
16,us
17,we're
18,keeping
19,keep
20,going
21,delicate
22,balance
23,vulnerable
24,all-knowing
25,sing
26,like
27,think
28,one's
29,listening
30,would
31,kill
32,little
33,bit
34,little
35,bit
36,would
37,sing
38,like
39,think
40,one's
41,listening
42,would
43,kill
44,little
45,bit
46,little
47,bit
48,would
49,would
50,sing
51,something
52,soft
53,sad
54,delicate
55,loud
56,key
57,sing
58,anything
59,we're
60,glad
61,we've
62,got
63,done
64,we've
65,lost
66,whole
67,lives
68,laid
69,right
70,front
71,us
72,sing
73,like
74,think
75,one's
76,listening
77,would
78,kill
79,little
80,bit
81,little
82,bit
83,would
84,sing
85,like
86,think
87,one's
88,listening
89,would
90,kill
91,little
92,bit
93,little
94,bit
95,would
96,would
97,sing
98,something
99,soft
100,sad
101,delicate
102,loud
103,key
104,sing
105,anything
