,True Colors_Cyndi Lauper
0,sad
1,eyes
2,discouraged
3,oh
4,realize
5,hard
6,take
7,courage
8,world
9,full
10,people
11,lose
12,sight
13,darkness
14,inside
15,make
16,feel
17,small
18,see
19,true
20,colors
21,shining
22,see
23,true
24,colors
25,that's
26,love
27,afraid
28,let
29,show
30,true
31,colors
32,true
33,colors
34,beautiful
35,like
36,rainbow
37,show
38,smile
39,unhappy
40,can't
41,remember
42,last
43,saw
44,laughing
45,world
46,makes
47,crazy
48,taken
49,bear
50,call
51,know
52,i'll
53,i'll
54,see
55,true
56,colors
57,shining
58,see
59,true
60,colors
61,that's
62,love
63,afraid
64,let
65,show
66,true
67,colors
68,true
69,colors
70,beautiful
71,like
72,rainbow
73,bridge
74,can't
75,remember
76,last
77,saw
78,laugh
79,world
80,makes
81,crazy
82,taken
83,bear
84,call
85,know
86,i'll
87,i'll
88,see
89,true
90,colors
91,shining
92,see
93,true
94,colors
95,that's
96,love
97,afraid
98,let
99,show
100,true
101,colors
102,true
103,colors
104,true
105,colors
106,shining
107,see
108,true
109,colors
110,that's
111,love
112,afraid
113,let
114,show
115,true
116,colors
117,true
118,colors
119,beautiful
120,like
121,rainbow
