,Generator ^ First Floor_Freelance Whales
0,judah
1,dadone
2,get
3,early
4,start
5,cranking
6,generator
7,limbs
8,asleep
9,need
10,get
11,blood
12,back
13,'em
14,we're
15,finding
16,every
17,day
18,several
19,ways
20,friends
21,keep
22,churning
23,lights
24,inside
25,house
26,turn
27,native
28,language
29,chanting
30,ancient
31,songs
32,quiet
33,house
34,chants
35,without
36,us
