,Crown of Love_Arcade Fire
0,say
1,fades
2,you
3,let
4,love
5,made
6,forget
7,i
8,carved
9,your
10,name
11,across
12,my
13,eyelids
14,you
15,pray
16,rain
17,i
18,pray
19,blindness
20,you
21,still
22,want
23,me
24,please
25,forgive
26,me
27,crown
28,love
29,fallen
30,me
31,you
32,still
33,want
34,me
35,please
36,forgive
37,me
38,spark
39,within
40,me
41,postchorus
42,i
43,snuffed
44,my
45,mom
46,walked
47,my
48,bedroom
49,thing
50,you
51,keep
52,changing
53,your
54,name
55,my
56,love
57,keeps
58,growing
59,still
60,like
61,cancer
62,you
63,give
64,me
65,straight
66,answer
67,you
68,still
69,want
70,me
71,please
72,forgive
73,me
74,crown
75,love
76,fallen
77,me
78,you
79,still
80,want
81,me
82,please
83,forgive
84,me
85,your
86,hands
87,upon
88,me
89,postchorus
90,i
91,shrugged
92,my
93,mom
94,walked
95,my
96,bedroom
97,pains
98,love
99,keep
100,growing
101,my
102,heart
103,there's
104,flowers
105,growing
106,grave
107,old
108,love
109,since
110,you
111,gave
112,me
113,straight
114,answer
115,you
116,still
117,want
118,me
119,please
120,forgive
121,me
122,crown
123,love
124,upon
125,me
126,you
127,still
128,want
129,me
130,please
131,forgive
132,me
133,'cause
134,spark
135,within
136,me
137,within
138,me
139,within
140,me
141,you
142,gotta
143,one
144,you
145,gotta
146,way
147,your
148,name
149,word
150,i
151,say
152,you
153,gotta
154,one
155,you
156,gotta
157,way
158,your
159,name
160,word
161,word
162,i
163,say
164,word
165,i
166,say
