,Jóga_Björk
0,accidents
1,happen
2,follow
3,dot
4,coincidence
5,makes
6,sense
7,speak
8,feel
9,prechorus
10,emotional
11,landscapes
12,puzzle
13,riddle
14,gets
15,solved
16,push
17,state
18,emergency
19,beautiful
20,state
21,emergency
22,want
23,one
24,sees
25,see
26,what's
27,inside
28,every
29,nerve
30,hurts
31,heal
32,deep
33,inside
34,ooh
35,speak
36,feel
37,prechorus
38,emotional
39,landscapes
40,puzzle
41,confuse
42,riddle
43,get
44,solved
45,push
46,state
47,emergency
48,beautiful
49,state
50,emergency
51,want
52,state
53,emergency
54,beautiful
55,prechorus
56,emotional
57,landscapes
58,puzzle
59,riddle
60,gets
61,solved
62,push
63,state
64,emergency
65,beautiful
66,state
67,emergency
68,want
69,state
70,emergency
71,beautiful
72,state
73,emergency
74,state
75,allt
76,sem
77,hann
78,sér
79,allt
80,sem
81,hann
82,sér
83,allt
84,sem
85,hann
86,sér
87,state
88,allt
89,sem
90,hann
91,sér
92,allt
93,sem
94,hann
95,sér
96,beautiful
97,allt
98,sem
99,hann
100,sér
101,allt
102,sem
103,hann
104,sér
105,emergency
106,allt
107,sem
108,hann
109,sér
110,want
111,state
112,emergency
113,beautiful
114,state
115,emergency
116,want
117,state
118,emergency
