,Bubbly_Colbie Caillat
0,count
1,i've
2,awake
3,got
4,feeling
5,like
6,child
7,'cause
8,every
9,time
10,see
11,bubbly
12,face
13,get
14,tingles
15,silly
16,place
17,starts
18,toes
19,crinkle
20,nose
21,wherever
22,goes
23,always
24,know
25,make
26,smile
27,please
28,stay
29,take
30,time
31,wherever
32,go
33,rain
34,falling
35,window
36,pane
37,hiding
38,safer
39,place
40,covers
41,staying
42,dry
43,warm
44,give
45,feelings
46,adore
47,start
48,toes
49,make
50,crinkle
51,nose
52,wherever
53,goes
54,always
55,know
56,make
57,smile
58,please
59,stay
60,take
61,time
62,wherever
63,go
64,gonna
65,say
66,make
67,feel
68,way
69,mmm
70,starts
71,toes
72,makes
73,crinkle
74,nose
75,wherever
76,goes
77,always
78,know
79,make
80,smile
81,please
82,stay
83,take
84,time
85,wherever
86,go
87,tadadam
88,tada
89,dadam
90,tadadam
91,tadadada
92,tadadam
93,umba
94,dada
95,umba
96,tadadada
97,uhm
98,breakdown
99,i've
100,asleep
101,tuck
102,like
103,child
104,'cause
105,every
106,time
107,hold
108,arms
109,i'm
110,comfortable
111,enough
112,feel
113,warmth
114,starts
115,soul
116,lose
117,control
118,kiss
119,nose
120,feeling
121,shows
122,'cause
123,make
124,smile
125,baby
126,take
127,time
128,holding
129,tight
130,wherever
131,wherever
132,wherever
133,go
134,wherever
135,wherever
136,wherever
137,go
138,wherever
139,go
140,always
141,know
142,'cause
143,make
144,smile
145,even
