,Poor Places_Wilco
0,father's
1,voice
2,trailing
3,sailors
4,sailing
5,morning
6,air-conditioned
7,rooms
8,top
9,stairs
10,refrain
11,jaw's
12,broken
13,bandage
14,wrapped
15,tight
16,fangs
17,pulled
18,really
19,want
20,see
21,tonight
22,there's
23,bourbon
24,breath
25,singer
26,love
27,much
28,takes
29,words
30,books
31,read
32,anyway
33,refrain
34,jaw's
35,broken
36,bandage
37,wrapped
38,tight
39,fangs
40,pulled
41,really
42,want
43,see
44,tonight
45,someone
46,ties
47,bow
48,backyard
49,show
50,love
51,voice
52,climbing
53,walls
54,smoking
55,wanted
56,love
57,refrain
58,jaw's
59,broken
60,heart
61,wrapped
62,ice
63,fangs
64,pulled
65,really
66,want
67,see
68,tonight
69,bridge
70,makes
71,difference
72,cried
73,overseas
74,hot
75,poor
76,places
77,tonight
78,i'm
79,going
80,outside
81,cried
82,overseas
83,makes
84,difference
85,hot
86,poor
87,places
88,tonight
89,i'm
90,going
91,outside
92,"""yankee"
93,hotel
94,"foxtrot"""
95,hot
96,poor
97,places
98,tonight
99,"""yankee"
100,hotel
101,"foxtrot"""
102,i'm
103,going
104,outside
105,"""yankee"
106,hotel
107,"foxtrot"""
108,i'm
109,going
110,outside
111,"""yankee"
112,hotel
113,"foxtrot"""
114,i'm
115,going
116,outside
117,outro
118,sample
119,"""yankee"
120,hotel
121,"foxtrot"""
122,"""yankee"
123,hotel
124,"foxtrot"""
125,"""yankee"
126,hotel
127,"foxtrot"""
128,"""yankee"
129,hotel
130,"foxtrot"""
131,"""yankee"
132,hotel
133,"foxtrot"""
134,"""yankee"
135,hotel
136,"foxtrot"""
137,"""yankee"
138,hotel
139,"foxtrot"""
140,"""yankee"
141,hotel
142,"foxtrot"""
143,"""yankee"
144,hotel
145,"foxtrot"""
146,"""yankee"
147,hotel
148,"foxtrot"""
149,"""yankee"
150,hotel
151,"foxtrot"""
152,"""yankee"
153,hotel
154,"foxtrot"""
155,"""yankee"
156,hotel
157,"foxtrot"""
158,"""yankee"
159,hotel
160,"foxtrot"""
161,"""yankee"
162,"hotel—"""
